lname,finit,position,games,ab,runs,hits,doubles,triples,hr,rbi,bb,so,sb,cs,avg,obp,slg
Weaver,J,P,1,2,1,1,0,0,0,0,1,1,0,0,0.5,0.667,0.5
Romine,A,SS,12,17,2,7,0,0,0,1,3,3,1,0,0.412,0.5,0.412
Trout,M,CF,139,559,129,182,27,8,30,83,67,139,49,5,0.326,0.399,0.564
Hunter,T,CF,140,534,81,167,24,1,16,92,38,133,9,1,0.313,0.365,0.451
Aybar,E,SS,141,517,67,150,31,5,8,45,22,61,20,4,0.29,0.324,0.416
Kendrick,H,2B,147,550,57,158,32,3,8,67,29,115,14,6,0.287,0.325,0.4
Pujols,A,1B,154,607,85,173,50,0,30,105,52,76,8,1,0.285,0.343,0.516
Morales,K,1B,134,484,61,132,26,1,22,73,31,116,0,1,0.273,0.32,0.467
Trumbo,M,1B,144,544,66,146,19,3,32,95,36,153,4,5,0.268,0.317,0.491
Izturis,M,3B,100,289,35,74,11,0,2,20,25,38,17,2,0.256,0.32,0.315
Callaspo,A,3B,138,457,55,115,20,0,10,53,56,59,4,3,0.252,0.331,0.361
Williams,J,P,1,4,1,1,1,0,0,0,0,0,0,0,0.25,0.25,0.5
Iannetta,C,C,79,221,27,53,6,1,9,26,29,60,1,3,0.24,0.332,0.398
Wells,V,LF,77,243,36,56,9,0,11,29,16,35,3,1,0.23,0.279,0.403
Bourjos,P,CF,101,168,27,37,7,0,3,19,15,44,3,1,0.22,0.291,0.315
Hester,J,C,39,85,14,18,1,0,3,4,8,25,0,0,0.212,0.287,0.329
Wilson,B,C,75,171,19,36,5,0,3,13,15,33,0,0,0.211,0.277,0.292
Abreu,B,RF,8,24,1,5,3,0,0,5,2,5,0,0,0.208,0.259,0.333
Calhoun,K,RF,21,23,2,4,1,0,0,1,2,6,1,0,0.174,0.24,0.217
Conger,H,C,7,18,0,3,0,0,0,1,1,0,0,0,0.167,0.238,0.167
                            
