lname,finit,position,games,ab,runs,hits,doubles,triples,hr,rbi,bb,so,sb,cs,avg,obp,slg
Cespedes,Y,LF,129,487,70,142,25,5,23,82,43,102,16,4,0.292,0.356,0.505
Moss,B,1B,84,265,48,77,18,0,21,52,26,90,1,1,0.291,0.358,0.596
Cowgill,C,RF,38,104,10,28,2,0,1,9,11,27,3,4,0.269,0.336,0.317
Gomes,J,LF,99,279,46,73,10,0,18,47,44,104,3,1,0.262,0.377,0.491
Crisp,C,CF,120,455,68,118,25,7,11,46,45,64,39,4,0.259,0.325,0.418
Drew,S,SS,39,152,21,38,5,0,5,16,18,41,1,1,0.25,0.326,0.382
Reddick,J,RF,156,611,85,148,29,5,32,85,55,151,11,1,0.242,0.305,0.463
Donaldson,J,3B,75,274,34,66,16,0,9,33,14,61,4,1,0.241,0.289,0.398
Smith,S,LF,125,383,55,92,23,2,14,52,50,98,2,2,0.24,0.333,0.42
Carter,C,1B,67,218,38,52,12,0,16,39,39,83,0,0,0.239,0.35,0.514
Ka'aihue,K,1B,39,128,13,30,9,0,4,14,10,28,1,0,0.234,0.295,0.398
Inge,B,3B,74,283,31,64,13,0,11,52,24,85,0,1,0.226,0.286,0.389
Rosales,A,2B,42,99,12,22,5,0,2,8,11,24,0,0,0.222,0.297,0.333
Weeks,J,2B,118,444,54,98,15,8,2,20,50,70,16,5,0.221,0.305,0.304
Suzuki,K,C,75,262,19,57,15,0,1,18,9,53,1,0,0.218,0.25,0.286
Pennington,C,SS,125,418,50,90,18,2,6,28,35,90,15,6,0.215,0.278,0.311
Kottaras,G,C,27,85,10,18,2,1,6,19,8,24,0,0,0.212,0.28,0.471
Barton,D,1B,46,113,8,23,7,0,1,6,22,32,1,0,0.204,0.338,0.292
Norris,D,C,60,209,19,42,8,1,7,34,21,66,5,1,0.201,0.276,0.349
Milone,T,P,2,5,1,1,0,0,0,2,0,1,0,0,0.2,0.2,0.2

                            
