lname,finit,position,games,ab,runs,hits,doubles,triples,hr,rbi,bb,so,sb,cs,avg,obp,slg
Villanueva,C,P,3,2,1,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5
Cooper,D,1B,45,140,16,42,11,0,4,11,4,22,0,1,0.3,0.324,0.464
Encarnacion,E,1B,151,542,93,152,24,0,42,110,84,94,13,3,0.28,0.384,0.557
Lawrie,B,3B,125,494,73,135,26,3,11,48,33,86,13,8,0.273,0.324,0.405
Davis,R,RF,142,447,64,115,24,3,8,43,29,102,46,13,0.257,0.309,0.378
Lind,A,1B,93,321,28,82,14,2,11,45,29,61,0,0,0.255,0.314,0.414
Hechavarria,A,SS,41,126,10,32,8,0,2,15,4,32,0,0,0.254,0.28,0.365
Escobar,Y,SS,145,558,58,141,22,1,9,51,35,70,5,1,0.253,0.3,0.344
Snider,T,RF,10,36,6,9,2,0,3,8,3,14,0,0,0.25,0.3,0.556
Thames,E,LF,46,148,17,36,7,1,3,11,9,40,0,1,0.243,0.288,0.365
Bautista,J,RF,92,332,64,80,14,0,27,65,59,63,5,2,0.241,0.358,0.527
Francisco,B,LF,27,50,5,12,5,1,0,2,4,10,0,1,0.24,0.296,0.38
Vizquel,O,2B,60,153,13,36,5,1,0,7,7,17,3,2,0.235,0.265,0.281
Arencibia,J,C,102,347,45,81,16,0,18,56,18,108,1,0,0.233,0.275,0.435
Johnson,K,2B,142,507,61,114,19,2,16,55,62,159,14,2,0.225,0.313,0.365
Sierra,M,RF,49,147,14,33,4,0,6,15,8,44,1,0,0.224,0.274,0.374
Rasmus,C,CF,151,565,75,126,21,5,23,75,47,149,4,3,0.223,0.289,0.4
Gose,A,RF,56,166,25,37,7,3,1,11,17,59,15,3,0.223,0.303,0.319
Mathis,J,C,70,211,25,46,13,0,8,27,9,68,1,0,0.218,0.249,0.393
Torrealba,Y,C,10,28,3,6,0,0,1,2,2,7,0,0,0.214,0.267,0.321

                            
