lname,finit,position,games,ab,runs,hits,doubles,triples,hr,rbi,bb,so,sb,cs,avg,obp,slg
Avilan,L,P,31,3,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333
Prado,M,LF,156,617,81,186,42,6,10,70,58,69,17,4,0.301,0.359,0.438
Simmons,A,SS,49,166,17,48,8,2,3,19,12,21,1,0,0.289,0.335,0.416
Jones,C,3B,112,387,58,111,23,0,14,62,57,51,1,0,0.287,0.377,0.455
Bourn,M,CF,155,624,96,171,26,10,9,57,70,155,42,13,0.274,0.348,0.391
Johnson,R,LF,43,100,7,27,5,0,0,4,3,18,0,1,0.27,0.305,0.32
Heyward,J,RF,158,587,93,158,30,6,27,82,58,152,21,8,0.269,0.335,0.479
Freeman,F,1B,147,540,91,140,33,2,23,94,64,129,2,0,0.259,0.34,0.456
Ross,D,C,62,176,18,45,7,0,9,23,18,60,1,0,0.256,0.321,0.449
Constanza,J,LF,37,76,8,19,2,0,0,4,8,21,5,2,0.25,0.321,0.276
Pastornicky,T,SS,76,169,21,41,6,1,2,13,10,32,2,0,0.243,0.287,0.325
Delgado,R,P,16,25,3,6,0,0,0,1,0,9,0,0,0.24,0.24,0.24
Francisco,J,3B,93,192,17,45,11,0,9,32,11,70,1,1,0.234,0.278,0.432
McCann,B,C,121,439,44,101,14,0,20,67,44,76,3,0,0.23,0.3,0.399
Diaz,M,LF,51,108,10,24,6,0,2,13,9,21,0,0,0.222,0.28,0.333
Uggla,D,2B,154,523,86,115,29,0,19,78,94,168,4,3,0.22,0.348,0.384
Hudson,T,P,27,55,4,12,3,0,0,6,2,18,0,0,0.218,0.25,0.273
Boscan,J,C,6,10,0,2,0,0,0,2,0,1,0,0,0.2,0.2,0.2
Hinske,E,LF,91,132,9,26,7,1,2,13,14,41,0,0,0.197,0.272,0.311
Janish,P,SS,55,167,18,31,6,1,0,9,17,30,1,0,0.186,0.269,0.234

                            
