lname,finit,position,games,ab,runs,hits,doubles,triples,hr,rbi,bb,so,sb,cs,avg,obp,slg
Lucroy,J,C,96,316,46,101,17,4,12,58,22,44,4,1,0.32,0.368,0.513
Braun,R,LF,154,598,108,191,36,3,41,112,63,128,30,7,0.319,0.391,0.595
Schafer,L,LF,16,23,3,7,1,2,0,5,1,3,0,1,0.304,0.32,0.522
Ramirez,A,3B,149,570,92,171,50,3,27,105,44,82,9,2,0.3,0.36,0.54
Aoki,N,RF,151,520,81,150,37,4,10,50,43,55,30,8,0.288,0.355,0.433
Hart,C,1B,149,562,91,152,35,4,30,83,44,151,5,0,0.27,0.334,0.507
Maldonado,M,C,78,233,22,62,9,0,8,30,17,56,1,1,0.266,0.321,0.408
Segura,J,SS,44,148,19,39,4,3,0,14,13,21,7,1,0.264,0.321,0.331
Gomez,C,CF,137,415,72,108,19,4,19,51,20,98,37,6,0.26,0.305,0.463
Gonzalez,A,SS,24,81,8,21,4,0,4,15,6,15,1,1,0.259,0.326,0.457
Ishikawa,T,1B,94,152,19,39,12,1,4,30,13,42,0,0,0.257,0.329,0.428
Maysonet,E,SS,30,60,7,15,1,1,1,4,3,9,1,0,0.25,0.297,0.35
Gamel,M,1B,21,69,10,17,2,1,1,6,4,15,3,0,0.246,0.293,0.348
Morgan,N,CF,122,289,44,69,5,3,3,16,20,63,12,5,0.239,0.302,0.308
Izturis,C,SS,57,162,9,38,6,2,2,11,3,13,1,1,0.235,0.248,0.333
Weeks,R,2B,157,588,85,135,29,4,21,63,74,169,16,3,0.23,0.328,0.4
Rogers,M,P,8,14,1,3,2,0,0,0,0,5,0,0,0.214,0.214,0.357
Greinke,Z,P,21,33,3,7,3,0,1,2,0,8,0,0,0.212,0.206,0.394
Kottaras,G,C,58,86,10,18,4,0,3,12,29,24,0,0,0.209,0.409,0.36
Thornburg,T,P,8,5,1,1,1,0,0,0,0,2,0,0,0.2,0.2,0.4

                            
