lname,finit,position,games,ab,runs,hits,doubles,triples,hr,rbi,bb,so,sb,cs,avg,obp,slg
Miller,S,P,6,3,0,2,1,0,0,0,0,0,0,0,0.667,0.667,1
Dickson,B,P,4,2,0,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5
Kozma,P,SS,26,72,11,24,5,3,2,14,7,19,2,0,0.333,0.383,0.569
Molina,Y,C,138,505,65,159,28,0,22,76,45,55,12,3,0.315,0.373,0.501
Craig,A,1B,119,469,76,144,35,0,22,92,37,89,2,1,0.307,0.354,0.522
Jay,J,CF,117,443,70,135,22,4,4,40,34,71,19,7,0.305,0.373,0.4
Holliday,M,LF,157,599,95,177,36,2,27,102,75,132,4,4,0.295,0.379,0.497
Carpenter,M,3B,114,296,44,87,22,5,6,46,34,63,1,1,0.294,0.365,0.463
Freese,D,3B,144,501,70,147,25,1,20,79,57,122,3,3,0.293,0.372,0.467
Schumaker,S,2B,107,272,37,75,14,4,1,28,27,50,1,1,0.276,0.339,0.368
Beltran,C,RF,151,547,83,147,26,1,32,97,65,124,13,6,0.269,0.346,0.495
Furcal,R,SS,121,477,69,126,18,3,5,49,44,57,12,4,0.264,0.325,0.346
Berkman,L,1B,32,81,12,21,7,1,2,7,14,19,2,0,0.259,0.381,0.444
Cruz,T,C,51,126,11,32,9,1,1,11,3,19,0,1,0.254,0.267,0.365
Robinson,S,RF,102,166,20,42,8,0,3,16,14,32,1,0,0.253,0.309,0.355
Anderson,B,C,10,12,2,3,1,0,0,0,1,6,1,0,0.25,0.357,0.333
Garcia,J,P,20,40,7,10,1,1,1,3,2,15,0,0,0.25,0.286,0.4
Adams,M,1B,27,86,8,21,6,0,2,13,5,24,0,0,0.244,0.286,0.384
Descalso,D,SS,143,374,41,85,10,7,4,26,37,83,6,3,0.227,0.303,0.324
Chambers,A,CF,41,54,4,12,0,2,0,4,5,18,2,1,0.222,0.3,0.296

                            
