lname,finit,position,games,ab,runs,hits,doubles,triples,hr,rbi,bb,so,sb,cs,avg,obp,slg
Coleman,C,P,15,3,0,1,0,0,0,0,0,1,0,0,0.333,0.333,0.333
Johnson,R,LF,76,169,23,51,9,3,3,16,10,43,2,1,0.302,0.355,0.444
Rizzo,A,1B,87,337,44,96,15,0,15,48,27,62,3,2,0.285,0.342,0.463
Castro,S,SS,162,646,78,183,29,12,14,78,36,100,25,13,0.283,0.323,0.43
Sappelt,D,CF,26,69,8,19,6,0,2,8,7,9,0,0,0.275,0.351,0.449
Baker,J,1B,54,134,16,36,10,1,4,20,8,28,4,1,0.269,0.306,0.448
Castillo,W,C,52,170,16,45,11,0,5,22,17,51,0,0,0.265,0.337,0.418
Campana,T,CF,89,174,26,46,6,0,0,5,11,43,30,3,0.264,0.308,0.299
DeJesus,D,CF,148,506,76,133,28,8,9,50,61,89,7,8,0.263,0.35,0.403
Soriano,A,LF,151,561,68,147,33,2,32,108,44,153,6,2,0.262,0.322,0.499
LaHair,B,RF,130,340,42,88,17,0,16,40,39,124,4,2,0.259,0.334,0.45
Barney,D,2B,156,548,73,139,26,4,7,44,33,58,6,1,0.254,0.299,0.354
Wells,R,P,10,4,0,1,0,0,0,0,0,2,0,0,0.25,0.25,0.25
Valbuena,L,3B,90,265,26,58,20,0,4,28,36,55,0,2,0.219,0.31,0.34
Mather,J,RF,103,225,18,47,11,0,5,19,14,46,5,2,0.209,0.256,0.324
Stewart,I,3B,55,179,16,36,5,2,5,17,21,46,0,3,0.201,0.292,0.335
Clevenger,S,C,69,199,16,40,12,0,1,16,16,39,0,1,0.201,0.26,0.276
Raley,B,P,5,10,0,2,0,0,0,0,0,1,0,0,0.2,0.2,0.2
Soto,G,C,52,176,26,35,6,1,6,14,19,35,0,0,0.199,0.284,0.347
Wood,T,P,26,53,5,10,3,0,1,4,0,20,0,0,0.189,0.189,0.302

                            
