lname,finit,position,games,ab,runs,hits,doubles,triples,hr,rbi,bb,so,sb,cs,avg,obp,slg
Hernandez,D,P,69,1,0,1,0,0,0,0,0,0,0,0,1,1,1
Nieves,W,C,16,36,4,11,1,0,1,3,1,8,0,1,0.306,0.324,0.417
Bloomquist,W,SS,80,324,47,98,21,5,0,23,12,55,7,10,0.302,0.325,0.398
Hill,A,2B,156,609,93,184,44,6,26,85,52,86,14,5,0.302,0.36,0.522
Overbay,L,1B,45,96,11,28,9,0,2,10,12,26,0,0,0.292,0.367,0.448
Montero,M,C,141,486,65,139,25,2,15,88,73,130,0,0,0.286,0.391,0.438
Goldschmidt,P,1B,145,514,82,147,43,1,20,82,60,130,18,3,0.286,0.359,0.49
Johnson,C,3B,44,147,12,42,7,2,7,35,8,40,1,0,0.286,0.321,0.503
Upton,J,RF,150,554,107,155,24,4,17,67,63,121,18,8,0.28,0.355,0.43
Parra,G,RF,133,385,58,105,21,2,7,36,33,77,15,9,0.273,0.335,0.392
Ransom,C,3B,26,78,11,21,7,0,5,16,7,30,0,0,0.269,0.352,0.551
Eaton,A,CF,22,85,19,22,3,2,2,5,14,15,2,3,0.259,0.382,0.412
Kubel,J,LF,141,506,75,128,30,4,30,90,57,151,1,1,0.253,0.327,0.506
Roberts,R,3B,83,252,28,63,9,0,6,34,22,45,6,3,0.25,0.306,0.357
Ziegler,B,P,73,4,1,1,0,0,0,0,0,2,0,0,0.25,0.25,0.25
McDonald,J,SS,70,197,16,49,9,0,6,22,12,33,0,1,0.249,0.295,0.386
Pollock,A,CF,31,81,8,20,4,1,2,8,9,11,1,2,0.247,0.315,0.395
Wheeler,R,3B,50,109,11,26,6,1,1,10,9,22,1,0,0.239,0.294,0.339
Young,C,CF,101,325,36,75,24,0,14,41,36,79,8,3,0.231,0.311,0.434
Jacobs,M,1B,13,19,4,4,1,0,0,2,4,6,0,0,0.211,0.348,0.263
                            
