lname,finit,position,games,ab,runs,hits,doubles,triples,hr,rbi,bb,so,sb,cs,avg,obp,slg
Scutaro,M,2B,61,243,40,88,16,1,3,44,13,14,2,1,0.362,0.385,0.473
Cabrera,M,LF,113,459,84,159,25,10,11,60,36,63,13,5,0.346,0.39,0.516
Posey,B,C,148,530,78,178,39,1,24,103,69,96,1,1,0.336,0.408,0.549
Casilla,S,P,68,3,0,1,0,0,0,1,0,1,0,0,0.333,0.333,0.333
Pagan,A,CF,154,605,95,174,38,15,8,56,48,97,29,7,0.288,0.338,0.44
Sandoval,P,3B,108,396,59,112,25,2,12,63,38,59,1,1,0.283,0.342,0.447
Sanchez,H,C,74,218,22,61,15,0,3,34,5,52,0,0,0.28,0.295,0.39
Belt,B,1B,145,411,47,113,27,6,7,56,54,106,12,2,0.275,0.36,0.421
Theriot,R,2B,104,352,45,95,16,1,0,28,24,47,13,5,0.27,0.316,0.321
Arias,J,3B,112,319,30,86,13,5,5,34,13,44,5,1,0.27,0.304,0.389
Schierholtz,N,RF,77,175,15,44,4,5,5,16,18,36,3,2,0.251,0.321,0.417
Crawford,B,SS,143,435,44,108,26,3,4,45,33,95,1,4,0.248,0.304,0.349
Blanco,G,CF,141,393,56,96,14,5,5,34,51,104,26,6,0.244,0.333,0.344
Nady,X,LF,19,50,6,12,3,1,1,7,6,13,0,0,0.24,0.333,0.4
Pence,H,RF,59,219,28,48,11,2,7,45,19,60,1,0,0.219,0.287,0.384
Burriss,E,2B,60,136,15,29,1,0,0,7,10,25,5,3,0.213,0.27,0.221
Pill,B,1B,48,105,10,22,3,0,4,11,6,19,1,0,0.21,0.265,0.352
Huff,A,1B,52,78,7,15,4,0,1,7,16,12,0,0,0.192,0.326,0.282
Peguero,F,CF,17,16,6,3,0,0,0,0,0,7,3,0,0.188,0.188,0.188
Cain,M,P,33,74,6,13,2,0,1,6,2,33,0,0,0.176,0.197,0.243

                            
