lname,finit,position,games,ab,runs,hits,doubles,triples,hr,rbi,bb,so,sb,cs,avg,obp,slg
Rogers,E,P,3,1,0,1,0,0,0,0,0,0,0,0,1,1,1
Lowe,D,P,2,4,0,2,0,0,0,0,0,0,0,0,0.5,0.5,0.5
Tomlin,J,P,2,5,0,2,0,0,0,0,0,3,0,0,0.4,0.4,0.4
Brantley,M,LF,149,552,63,159,37,4,6,60,53,56,12,9,0.288,0.348,0.402
Choo,S,RF,155,598,88,169,43,2,16,67,73,150,21,7,0.283,0.373,0.441
Carrera,E,LF,48,147,20,40,6,3,2,11,8,35,8,1,0.272,0.312,0.395
Cabrera,A,SS,143,555,70,150,35,1,16,68,52,99,9,4,0.27,0.338,0.423
Canzler,R,LF,26,93,9,25,3,0,3,11,4,22,0,0,0.269,0.299,0.398
Chisenhall,L,3B,43,142,16,38,6,1,5,16,8,27,2,1,0.268,0.311,0.43
Diaz,J,SS,5,15,4,4,0,0,0,0,1,5,0,0,0.267,0.353,0.267
Kipnis,J,2B,152,591,86,152,22,4,14,76,67,109,31,7,0.257,0.335,0.379
Santana,C,3B,143,507,72,128,27,2,18,76,91,101,3,5,0.252,0.365,0.42
Gomez,J,P,2,4,0,1,0,0,0,0,0,1,0,0,0.25,0.25,0.25
Lopez,J,2B,66,213,16,53,13,0,4,28,8,35,0,1,0.249,0.272,0.366
Hannahan,J,3B,105,287,23,70,16,0,4,29,27,63,0,2,0.244,0.312,0.341
LaPorta,M,1B,22,58,2,14,2,0,1,5,1,17,0,0,0.241,0.267,0.328
Kotchman,C,1B,142,463,46,106,12,0,12,55,26,49,3,0,0.229,0.28,0.333
Hafner,T,DH,66,219,23,50,6,2,12,34,32,47,0,0,0.228,0.346,0.438
Marson,L,C,70,195,27,44,8,2,0,13,36,44,4,2,0.226,0.348,0.287
Damon,J,LF,64,207,25,46,6,2,4,19,17,27,4,0,0.222,0.281,0.329

                            
                            
