lname,finit,position,games,ab,runs,hits,doubles,triples,hr,rbi,bb,so,sb,cs,avg,obp,slg
Noesi,H,P,2,4,0,2,0,0,0,0,0,2,0,0,0.5,0.5,0.5
Vargas,J,P,2,5,2,2,0,0,0,1,1,2,0,0,0.4,0.5,0.4
Hernandez,F,P,1,3,0,1,1,0,0,2,0,1,0,0,0.333,0.333,0.667
Jaso,J,C,108,294,41,81,19,2,10,50,56,51,5,0,0.276,0.394,0.456
Suzuki,I,RF,95,402,49,105,15,5,4,28,17,40,15,2,0.261,0.288,0.353
Montero,J,C,135,515,46,134,20,0,15,62,29,99,0,2,0.26,0.298,0.386
Gutierrez,F,CF,40,150,18,39,10,1,4,17,9,31,3,1,0.26,0.309,0.42
Seager,K,3B,155,594,62,154,35,1,20,86,46,110,13,5,0.259,0.316,0.423
Saunders,M,CF,139,507,71,125,31,3,19,57,43,132,21,4,0.247,0.306,0.432
Wells,C,LF,93,285,42,65,12,3,10,36,26,80,3,0,0.228,0.302,0.396
Triunfel,C,SS,10,22,2,5,2,0,0,3,1,4,0,0,0.227,0.261,0.318
Ackley,D,2B,153,607,84,137,22,2,12,50,59,124,13,3,0.226,0.294,0.328
Liddi,A,3B,38,116,8,26,4,1,3,10,9,49,2,1,0.224,0.278,0.353
Olivo,M,C,87,315,27,70,14,0,12,29,7,85,3,6,0.222,0.239,0.381
Robinson,T,LF,46,145,16,32,4,1,3,12,14,43,6,3,0.221,0.294,0.324
Thames,E,RF,40,123,10,27,5,2,6,14,6,47,1,0,0.22,0.256,0.439
Smoak,J,1B,132,483,49,105,14,0,19,51,49,111,1,0,0.217,0.29,0.364
Carp,M,LF,59,164,17,35,6,0,5,20,21,46,1,0,0.213,0.312,0.341
Ryan,B,SS,141,407,42,79,19,3,3,31,44,98,11,5,0.194,0.277,0.278
Kawasaki,M,SS,61,104,13,20,1,0,0,7,8,18,2,2,0.192,0.257,0.202

                            
