lname,finit,position,games,ab,runs,hits,doubles,triples,hr,rbi,bb,so,sb,cs,avg,obp,slg
Ruggiano,J,CF,91,288,38,90,23,1,13,36,29,84,14,8,0.313,0.374,0.535
Solano,D,2B,93,285,29,84,11,3,2,28,21,58,7,0,0.295,0.342,0.375
Brantly,R,C,31,100,14,29,8,0,3,8,13,16,1,1,0.29,0.372,0.46
Stanton,G,RF,123,449,75,130,30,1,37,86,46,143,6,2,0.29,0.361,0.608
Reyes,J,SS,160,642,86,184,37,12,11,57,63,56,40,11,0.287,0.347,0.433
Infante,O,2B,85,328,42,94,23,2,8,33,12,42,10,1,0.287,0.312,0.442
Dobbs,G,1B,120,319,26,91,13,2,5,39,14,53,4,2,0.285,0.313,0.386
Bonifacio,E,CF,64,244,30,63,3,4,1,11,25,52,30,3,0.258,0.33,0.316
Ramirez,H,3B,93,353,49,87,18,2,14,48,37,72,14,4,0.246,0.322,0.428
Kearns,A,LF,87,147,21,36,6,0,4,16,22,44,2,1,0.245,0.366,0.367
Lee,C,1B,81,292,29,71,12,0,4,48,39,32,3,0,0.243,0.328,0.325
Velazquez,G,3B,19,56,2,13,1,0,0,2,1,11,0,0,0.232,0.246,0.25
Morrison,L,LF,93,296,30,68,15,1,11,36,31,58,1,0,0.23,0.308,0.399
Murphy,D,3B,52,116,13,25,6,2,3,12,9,35,1,1,0.216,0.281,0.379
Hernandez,G,CF,45,132,16,28,2,3,3,11,12,37,5,2,0.212,0.288,0.341
Sanchez,G,1B,55,183,12,37,10,0,3,17,12,36,1,0,0.202,0.25,0.306
Hayes,B,C,39,114,7,23,6,0,0,3,4,49,1,0,0.202,0.229,0.254
Petersen,B,LF,84,241,29,47,9,3,0,17,25,58,8,2,0.195,0.272,0.257
Buck,J,C,106,343,29,66,15,1,12,41,49,103,0,0,0.192,0.297,0.347
Zambrano,C,P,32,34,3,6,0,0,1,2,0,8,0,0,0.176,0.176,0.265

                            
