lname,finit,position,games,ab,runs,hits,doubles,triples,hr,rbi,bb,so,sb,cs,avg,obp,slg
Harvey,M,P,10,18,0,6,2,0,0,3,0,7,0,0,0.333,0.333,0.444
Wright,D,3B,156,581,91,178,41,2,21,93,81,112,15,10,0.306,0.391,0.492
Murphy,D,2B,156,571,62,166,40,3,6,65,36,82,10,2,0.291,0.332,0.403
Tejada,R,SS,114,464,53,134,26,0,1,25,27,73,4,4,0.289,0.333,0.351
Turner,J,1B,94,171,20,46,13,1,2,19,9,24,1,1,0.269,0.319,0.392
Hairston,S,RF,134,377,52,99,25,3,20,57,19,83,8,2,0.263,0.299,0.504
Baxter,M,RF,89,179,26,47,14,2,3,17,25,45,5,3,0.263,0.365,0.413
Cedeno,R,SS,78,166,18,43,11,1,4,22,17,35,0,1,0.259,0.332,0.41
Quintanilla,O,SS,29,70,13,18,5,0,1,4,8,17,0,0,0.257,0.35,0.371
Nieuwenhuis,K,CF,91,282,40,71,12,1,7,28,25,98,4,4,0.252,0.315,0.376
Johnson,R,C,17,52,3,13,2,0,0,4,4,10,0,0,0.25,0.298,0.288
Schwinden,C,P,3,4,0,1,0,0,0,1,0,1,0,0,0.25,0.25,0.25
Valdespin,J,CF,94,191,28,46,9,1,8,26,10,44,10,3,0.241,0.286,0.424
Duda,L,LF,121,401,43,96,15,0,15,57,51,120,1,0,0.239,0.329,0.389
Thole,J,C,104,321,24,75,15,0,1,21,27,50,0,0,0.234,0.294,0.29
Torres,A,CF,132,374,47,86,17,7,3,35,52,90,13,5,0.23,0.327,0.337
Davis,I,1B,156,519,66,118,26,0,32,90,61,141,0,2,0.227,0.308,0.462
Niese,J,P,28,55,8,12,0,0,0,2,6,19,0,0,0.218,0.295,0.218
Shoppach,K,C,28,79,7,16,2,0,3,10,5,27,0,0,0.203,0.276,0.342
Rottino,V,LF,18,33,8,6,1,0,2,5,6,9,3,0,0.182,0.308,0.394

                            
