lname,finit,position,games,ab,runs,hits,doubles,triples,hr,rbi,bb,so,sb,cs,avg,obp,slg
Izturis,C,SS,5,4,4,2,1,0,0,0,0,0,0,0,0.5,0.5,0.75
Gorzelanny,T,P,44,6,0,2,0,0,0,1,1,1,0,0,0.333,0.429,0.333
Solano,J,C,12,35,6,11,3,0,2,6,2,5,1,0,0.314,0.351,0.571
Werth,J,RF,81,300,42,90,21,3,5,31,42,57,8,2,0.3,0.387,0.44
Desmond,I,SS,130,513,72,150,33,2,25,73,30,113,21,6,0.292,0.335,0.511
Bernadina,R,LF,129,227,25,66,11,0,5,25,28,53,15,3,0.291,0.372,0.405
Morse,M,LF,102,406,53,118,17,1,18,62,16,97,0,1,0.291,0.321,0.47
Zimmerman,R,3B,145,578,93,163,36,1,25,95,57,116,5,2,0.282,0.346,0.478
Strasburg,S,P,26,47,4,13,4,0,1,7,3,13,0,0,0.277,0.333,0.426
Lombardozzi,S,2B,126,384,40,105,16,3,3,27,19,46,5,3,0.273,0.317,0.354
LaRoche,A,1B,154,571,76,155,35,1,33,100,67,138,1,1,0.271,0.343,0.51
Harper,B,LF,139,533,98,144,26,9,22,59,56,120,18,6,0.27,0.34,0.477
Tracy,C,3B,73,93,7,25,7,0,3,14,10,15,0,0,0.269,0.343,0.441
Suzuki,K,C,43,146,17,39,5,0,5,25,11,20,1,0,0.267,0.321,0.404
Leon,S,C,12,30,2,8,2,0,0,2,4,11,0,0,0.267,0.389,0.333
Ramos,W,C,25,83,11,22,2,0,3,10,12,19,0,0,0.265,0.354,0.398
Moore,T,LF,75,156,20,41,9,0,10,29,14,46,3,0,0.263,0.327,0.513
Espinosa,D,2B,160,594,82,147,37,2,17,56,46,189,20,6,0.247,0.315,0.402
Jackson,E,P,32,57,6,13,0,0,0,0,3,21,0,0,0.228,0.267,0.228
Ankiel,R,CF,68,158,15,36,10,2,5,15,12,59,1,3,0.228,0.282,0.411

                            
                            
