lname,finit,position,games,ab,runs,hits,doubles,triples,hr,rbi,bb,so,sb,cs,avg,obp,slg
Reimold,N,LF,16,67,10,21,6,0,5,10,2,14,1,0,0.313,0.333,0.627
Markakis,N,RF,104,420,59,125,28,3,13,54,42,51,1,1,0.298,0.363,0.471
Jones,A,CF,162,648,103,186,39,3,32,82,34,126,16,7,0.287,0.334,0.505
Davis,C,1B,139,515,75,139,20,0,33,85,37,169,2,3,0.27,0.326,0.501
McLouth,N,LF,55,209,35,56,12,1,7,18,22,43,12,1,0.268,0.342,0.435
Machado,M,3B,51,191,24,50,8,3,7,26,9,38,2,0,0.262,0.294,0.445
Betemit,W,3B,102,341,41,89,19,0,12,40,31,103,0,1,0.261,0.322,0.422
Thome,J,DH,28,101,8,26,5,0,3,10,14,40,0,0,0.257,0.348,0.396
Paulino,R,C,20,63,5,16,3,0,0,5,1,9,0,0,0.254,0.266,0.302
Pearce,S,1B,28,71,8,18,4,0,3,14,8,17,0,1,0.254,0.321,0.437
Matusz,B,P,2,4,0,1,0,0,0,0,0,2,0,0,0.25,0.25,0.25
Wieters,M,C,144,526,67,131,27,1,23,83,60,112,3,0,0.249,0.329,0.435
Hardy,J,SS,158,663,85,158,30,2,22,68,38,106,0,0,0.238,0.282,0.389
Quintanilla,O,SS,36,99,12,23,3,0,3,12,8,25,0,1,0.232,0.284,0.354
Avery,X,LF,32,94,14,21,6,1,1,6,11,23,6,3,0.223,0.305,0.34
Hall,B,LF,7,9,2,2,0,0,1,1,5,7,0,0,0.222,0.5,0.556
Reynolds,M,1B,135,457,65,101,26,0,23,69,73,159,1,3,0.221,0.335,0.429
Flaherty,R,2B,77,153,15,33,2,1,6,19,6,43,1,0,0.216,0.258,0.359
Andino,R,2B,127,384,41,81,13,1,7,28,37,100,5,5,0.211,0.283,0.305
Johnson,N,1B,38,87,9,18,4,0,4,11,11,26,2,0,0.207,0.324,0.391

                            
