lname,finit,position,games,ab,runs,hits,doubles,triples,hr,rbi,bb,so,sb,cs,avg,obp,slg
Grandal,Y,C,60,192,28,57,7,1,8,36,31,39,0,0,0.297,0.394,0.469
Denorfia,C,RF,130,348,56,102,19,6,8,36,27,52,13,5,0.293,0.345,0.451
Headley,C,3B,161,604,95,173,31,2,31,115,86,157,17,6,0.286,0.376,0.498
Marquis,J,P,16,32,3,9,3,0,0,1,0,12,0,0,0.281,0.303,0.375
Alonso,Y,1B,155,549,47,150,39,0,9,62,62,101,3,0,0.273,0.348,0.393
Forsythe,L,2B,91,315,45,86,13,3,6,26,28,57,8,2,0.273,0.343,0.39
Venable,W,RF,148,417,62,110,26,8,9,45,41,94,24,6,0.264,0.335,0.429
Quentin,C,LF,86,284,44,74,21,0,16,46,36,41,0,1,0.261,0.374,0.504
Kotsay,M,LF,82,143,9,37,8,0,2,14,11,14,0,2,0.259,0.314,0.357
Hermida,J,RF,13,24,2,6,1,1,0,2,3,7,1,0,0.25,0.333,0.375
Stults,E,P,18,28,3,7,2,0,0,3,0,10,0,0,0.25,0.25,0.321
Wieland,J,P,5,8,0,2,1,0,0,2,0,2,0,0,0.25,0.25,0.375
Guzman,J,LF,120,287,32,71,18,2,9,48,29,71,3,3,0.247,0.319,0.418
Cabrera,E,SS,115,398,49,98,19,3,2,24,43,110,44,4,0.246,0.324,0.324
Maybin,C,CF,147,507,67,123,20,5,8,45,44,110,26,7,0.243,0.306,0.349
Amarista,A,CF,105,275,35,66,15,5,5,32,17,42,8,4,0.24,0.282,0.385
Baker,J,C,63,193,17,46,8,0,0,14,20,41,2,1,0.238,0.31,0.28
Darnell,J,LF,7,17,1,4,1,0,1,1,2,2,0,0,0.235,0.316,0.471
Hudson,O,2B,35,123,11,26,0,5,1,11,8,27,3,2,0.211,0.26,0.317
Parrino,A,2B,55,116,9,24,5,0,1,6,17,35,1,0,0.207,0.316,0.276

                            
