lname,finit,position,games,ab,runs,hits,doubles,triples,hr,rbi,bb,so,sb,cs,avg,obp,slg
Frandsen,K,1B,55,195,24,66,10,3,2,14,9,18,0,1,0.338,0.383,0.451
Rosenberg,B,P,20,3,0,1,0,0,0,1,0,1,0,0,0.333,0.333,0.333
Ruf,D,LF,12,33,4,11,2,1,3,10,2,12,0,0,0.333,0.351,0.727
Ruiz,C,C,114,372,56,121,32,0,16,68,29,50,4,0,0.325,0.394,0.54
Orr,P,2B,35,54,6,17,5,1,0,7,1,18,3,1,0.315,0.327,0.444
Pierre,J,LF,130,394,59,121,10,6,1,25,23,27,37,7,0.307,0.351,0.371
Pridie,J,CF,9,10,1,3,1,0,1,3,0,0,0,0,0.3,0.3,0.7
Fontenot,M,2B,47,97,13,28,2,0,1,5,7,23,0,1,0.289,0.343,0.34
Schierholtz,N,RF,37,66,5,18,4,0,1,5,5,10,0,0,0.273,0.319,0.379
Pence,H,RF,101,398,59,108,15,2,17,59,37,85,4,2,0.271,0.336,0.447
Victorino,S,CF,101,387,46,101,17,5,9,40,35,49,24,4,0.261,0.324,0.401
Polanco,P,3B,90,303,28,78,15,0,2,19,18,25,0,0,0.257,0.302,0.327
Utley,C,2B,83,301,48,77,15,2,11,45,43,43,11,1,0.256,0.365,0.429
Rollins,J,SS,156,632,102,158,33,5,23,68,62,96,30,5,0.25,0.316,0.427
Kratz,E,C,50,141,14,35,9,0,9,26,11,34,0,0,0.248,0.306,0.504
Nix,L,RF,70,114,13,28,10,0,3,16,12,42,0,0,0.246,0.315,0.412
Mayberry,J,RF,149,441,53,108,24,0,14,46,34,111,1,0,0.245,0.301,0.395
Thome,J,1B,30,62,9,15,2,0,5,15,8,21,0,0,0.242,0.338,0.516
Brown,D,LF,56,187,21,44,11,2,5,26,21,34,0,0,0.235,0.316,0.396
Wigginton,T,1B,125,315,40,74,11,0,11,43,37,81,1,0,0.235,0.314,0.375

                            
