lname,finit,position,games,ab,runs,hits,doubles,triples,hr,rbi,bb,so,sb,cs,avg,obp,slg
McCutchen,A,CF,157,593,107,194,29,6,31,96,70,132,20,12,0.327,0.4,0.553
Holt,B,2B,24,65,6,19,2,1,0,3,4,14,0,0,0.292,0.329,0.354
Walker,N,2B,129,472,62,132,27,0,14,69,47,104,7,5,0.28,0.342,0.426
Jones,G,1B,145,475,68,130,28,3,27,86,33,103,2,0,0.274,0.317,0.516
Marte,S,LF,47,167,18,43,3,6,5,17,8,50,12,5,0.257,0.3,0.437
Fryer,E,C,6,4,0,1,0,0,0,0,1,1,0,0,0.25,0.4,0.25
Snider,T,RF,50,128,17,32,5,1,1,9,14,34,2,0,0.25,0.324,0.328
Alvarez,P,3B,149,525,64,128,25,1,30,85,57,180,1,0,0.244,0.317,0.467
Sutton,D,LF,24,74,10,18,8,1,1,7,4,26,0,1,0.243,0.278,0.419
Tabata,J,RF,103,333,43,81,20,3,3,16,29,58,8,12,0.243,0.315,0.348
Sanchez,G,1B,50,116,18,28,6,0,4,13,13,20,0,0,0.241,0.323,0.397
Presley,A,LF,104,346,46,82,14,7,10,25,18,72,9,7,0.237,0.279,0.405
McKenry,M,C,88,240,25,56,14,0,12,39,29,73,0,0,0.233,0.32,0.442
Harrison,J,3B,104,249,34,58,9,5,3,16,10,37,7,3,0.233,0.279,0.345
McGehee,C,1B,92,265,27,61,13,1,8,35,24,60,1,1,0.23,0.297,0.377
Barmes,C,SS,144,455,34,104,16,1,8,45,20,106,0,2,0.229,0.272,0.321
Hague,M,1B,30,70,5,16,2,0,0,7,3,14,1,0,0.229,0.27,0.257
Mercer,J,SS,42,62,7,13,5,1,1,5,4,14,0,1,0.21,0.265,0.371
Barajas,R,C,104,321,29,66,11,0,11,31,29,69,0,0,0.206,0.283,0.343
Lincoln,B,P,25,10,2,2,0,0,0,0,0,6,0,0,0.2,0.2,0.2

                            
