lname,finit,position,games,ab,runs,hits,doubles,triples,hr,rbi,bb,so,sb,cs,avg,obp,slg
Lewis,C,P,1,4,0,2,0,0,0,2,0,2,0,0,0.5,0.5,0.5
Ogando,A,P,2,2,0,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5
Darvish,Y,P,1,3,0,1,0,0,0,0,0,1,0,0,0.333,0.333,0.333
Beltre,A,3B,156,604,95,194,33,2,36,102,36,82,1,0,0.321,0.359,0.561
Gentry,C,CF,121,240,31,73,12,3,1,26,14,41,13,7,0.304,0.367,0.392
Murphy,D,LF,147,457,65,139,29,3,15,61,54,74,10,5,0.304,0.38,0.479
Andrus,E,SS,158,629,85,180,31,9,3,62,57,96,21,10,0.286,0.349,0.378
Hamilton,J,LF,148,562,103,160,31,2,43,128,60,162,7,4,0.285,0.354,0.577
Snyder,B,1B,40,65,11,18,2,0,3,9,3,26,0,0,0.277,0.309,0.446
Young,M,1B,156,611,79,169,27,3,8,67,33,70,2,2,0.277,0.312,0.37
Moreland,M,1B,114,327,41,90,18,0,15,50,23,71,1,1,0.275,0.321,0.468
Cruz,N,RF,159,585,86,152,45,0,24,90,48,140,8,4,0.26,0.319,0.46
Kinsler,I,2B,157,655,105,168,42,5,19,72,60,90,21,9,0.256,0.326,0.423
Feldman,S,P,2,4,0,1,0,0,0,1,0,2,0,0,0.25,0.25,0.25
Gonzalez,A,2B,24,54,7,13,2,1,0,4,0,9,0,0,0.241,0.241,0.315
Torrealba,Y,C,49,161,16,38,8,0,3,12,14,31,1,1,0.236,0.302,0.342
Napoli,M,C,108,352,53,80,9,2,24,56,56,125,1,0,0.227,0.343,0.469
Soto,G,C,47,148,19,29,6,0,5,25,11,41,1,0,0.196,0.253,0.338
Profar,J,2B,9,17,2,3,2,0,1,2,0,4,0,0,0.176,0.176,0.471
Martin,L,CF,24,46,6,8,5,2,0,6,4,12,3,0,0.174,0.235,0.37

                            
