lname,finit,position,games,ab,runs,hits,doubles,triples,hr,rbi,bb,so,sb,cs,avg,obp,slg
Davis,W,P,5,2,0,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5
Keppinger,J,2B,115,385,46,125,15,1,9,40,24,31,1,0,0.325,0.367,0.439
Longoria,E,3B,74,273,39,79,14,0,17,55,33,61,2,3,0.289,0.369,0.527
Sutton,D,3B,18,48,2,13,4,0,0,6,2,16,0,0,0.271,0.314,0.354
Zobrist,B,2B,157,560,88,151,39,7,20,74,97,103,14,9,0.27,0.377,0.471
Gimenez,C,C,42,100,10,26,4,0,1,9,8,24,0,0,0.26,0.315,0.33
Fuld,S,LF,44,98,14,25,3,2,0,5,8,14,7,2,0.255,0.318,0.327
Upton,B,CF,146,573,79,141,29,3,28,78,45,169,31,6,0.246,0.298,0.454
Jennings,D,CF,132,505,85,124,19,7,13,47,46,120,31,2,0.246,0.314,0.388
Johnson,E,SS,123,297,32,72,10,2,6,33,24,84,18,6,0.242,0.304,0.35
Joyce,M,LF,124,399,55,96,18,3,17,59,55,102,4,3,0.241,0.341,0.429
Scott,L,DH,96,314,35,72,22,1,14,55,21,80,5,0,0.229,0.285,0.439
Francisco,B,LF,24,57,4,13,5,0,2,8,4,16,0,0,0.228,0.27,0.421
Rhymes,W,2B,47,123,11,28,2,1,1,8,10,17,1,2,0.228,0.299,0.285
Molina,J,C,102,251,27,56,9,0,8,32,20,60,3,1,0.223,0.286,0.355
Lobaton,J,C,69,167,16,37,10,0,2,20,24,46,0,1,0.222,0.323,0.317
Roberts,R,2B,60,187,23,40,10,0,6,18,18,47,4,3,0.214,0.284,0.364
Rodriguez,S,LF,112,301,36,64,14,1,6,32,27,75,5,0,0.213,0.281,0.326
Shields,J,P,2,5,0,1,0,0,0,1,0,1,0,0,0.2,0.2,0.2
Pena,C,1B,160,497,72,98,17,2,19,61,87,182,2,3,0.197,0.33,0.354

                            
