lname,finit,position,games,ab,runs,hits,doubles,triples,hr,rbi,bb,so,sb,cs,avg,obp,slg
Morales,F,P,2,2,0,1,0,0,0,0,0,1,0,0,0.5,0.5,0.5
Ortiz,D,DH,90,324,65,103,26,0,23,60,56,51,0,1,0.318,0.415,0.611
Podsednik,S,CF,63,199,19,60,7,0,1,12,6,35,8,2,0.302,0.322,0.352
Gonzalez,A,1B,123,484,63,145,37,0,15,86,31,81,0,0,0.3,0.343,0.469
Ciriaco,P,SS,76,259,33,76,15,2,2,19,8,47,16,3,0.293,0.315,0.39
Pedroia,D,2B,141,563,81,163,39,3,15,65,48,60,20,6,0.29,0.347,0.449
Middlebrooks,W,3B,75,267,34,77,14,0,15,54,13,70,4,1,0.288,0.325,0.509
Crawford,C,LF,31,117,23,33,10,2,3,19,3,22,5,0,0.282,0.306,0.479
Gomez,M,1B,37,102,14,28,5,2,2,17,8,26,0,0,0.275,0.324,0.422
Ellsbury,J,CF,74,303,43,82,18,0,4,26,19,43,14,3,0.271,0.313,0.37
Byrd,M,CF,34,100,9,27,2,0,1,7,2,21,0,2,0.27,0.286,0.32
Ross,C,LF,130,476,70,127,34,1,22,81,42,129,2,3,0.267,0.326,0.481
Sweeney,R,RF,63,204,22,53,19,2,0,16,12,43,0,0,0.26,0.303,0.373
Aviles,M,SS,136,512,57,128,28,0,13,60,23,77,14,6,0.25,0.282,0.381
Lin,C,CF,9,12,1,3,0,0,0,0,0,5,0,0,0.25,0.25,0.25
Shoppach,K,C,48,140,16,35,12,2,5,17,11,62,1,0,0.25,0.327,0.471
Nava,D,LF,88,267,38,65,21,0,6,33,37,63,3,0,0.243,0.352,0.39
Youkilis,K,3B,42,146,25,34,7,1,4,14,14,39,0,0,0.233,0.315,0.377
Loney,J,1B,30,100,5,23,2,0,2,8,5,12,0,0,0.23,0.264,0.31
Kalish,R,CF,36,96,12,22,3,0,0,5,6,26,3,2,0.229,0.272,0.26

                            
