lname,finit,position,games,ab,runs,hits,doubles,triples,hr,rbi,bb,so,sb,cs,avg,obp,slg
Votto,J,1B,111,374,59,126,44,0,14,56,94,85,5,3,0.337,0.474,0.567
Paul,X,LF,55,86,8,27,5,1,2,7,9,18,4,2,0.314,0.379,0.465
Gregorius,D,SS,8,20,1,6,0,0,0,2,0,5,0,0,0.3,0.3,0.3
Phipps,D,RF,8,10,4,3,1,0,1,2,1,4,0,0,0.3,0.364,0.7
Leake,M,P,34,61,8,18,3,0,2,3,1,20,0,0,0.295,0.306,0.443
Navarro,D,C,24,69,6,20,3,1,2,12,2,12,0,0,0.29,0.306,0.449
Phillips,B,2B,147,580,86,163,30,1,18,77,28,79,15,2,0.281,0.321,0.429
Ludwick,R,LF,125,422,53,116,28,1,26,80,42,97,0,1,0.275,0.346,0.531
Hanigan,R,C,112,317,25,87,14,0,2,24,44,37,0,0,0.274,0.365,0.338
Frazier,T,3B,128,422,55,115,26,6,19,67,36,103,3,2,0.273,0.331,0.498
Heisey,C,LF,120,347,44,92,16,5,7,31,18,81,6,3,0.265,0.315,0.401
Bruce,J,RF,155,560,89,141,35,5,34,99,62,155,9,3,0.252,0.327,0.514
Negron,K,CF,4,4,2,1,0,0,0,0,1,2,0,0,0.25,0.4,0.25
Cozart,Z,SS,138,561,72,138,33,4,15,35,31,113,4,0,0.246,0.288,0.399
Rolen,S,3B,92,294,26,72,17,2,8,39,30,62,2,1,0.245,0.318,0.398
Rodriguez,H,2B,12,14,0,3,1,0,0,2,2,2,0,0,0.214,0.313,0.286
Stubbs,D,CF,136,493,75,105,13,2,14,40,42,166,30,7,0.213,0.277,0.333
Mesoraco,D,C,54,165,17,35,8,0,5,14,17,33,1,1,0.212,0.288,0.352
Valdez,W,SS,77,194,15,40,4,0,0,15,8,36,3,1,0.206,0.236,0.227
Cairo,M,3B,70,150,9,28,7,2,1,13,4,20,4,0,0.187,0.212,0.28

                            
