lname,finit,position,games,ab,runs,hits,doubles,triples,hr,rbi,bb,so,sb,cs,avg,obp,slg
Ortega,R,CF,2,4,0,2,0,0,0,0,1,2,1,0,0.5,0.667,0.5
DeLaRosa,J,P,3,5,0,2,0,0,0,1,0,1,0,0,0.4,0.4,0.4
Young,E,RF,98,174,36,55,7,2,4,15,13,31,14,2,0.316,0.377,0.448
Pacheco,J,3B,132,475,51,147,32,3,5,54,22,61,7,2,0.309,0.341,0.421
Gonzalez,C,LF,135,518,89,157,31,5,22,85,56,115,20,5,0.303,0.371,0.51
Nelson,C,3B,111,345,45,104,21,3,9,53,27,84,2,1,0.301,0.352,0.458
Fowler,D,CF,143,454,72,136,18,11,13,53,68,128,12,5,0.3,0.389,0.474
Nieves,W,C,16,47,3,14,2,0,1,5,3,9,0,0,0.298,0.333,0.404
LeMahieu,D,2B,81,229,26,68,12,4,2,22,13,42,1,2,0.297,0.332,0.41
Chacin,J,P,14,24,4,7,2,0,0,3,1,3,0,0,0.292,0.32,0.375
Colvin,T,RF,136,420,62,122,27,10,18,72,21,117,7,3,0.29,0.327,0.531
Tulowitzki,T,SS,47,181,33,52,8,2,8,27,19,19,2,2,0.287,0.36,0.486
Blackmon,C,RF,42,113,15,32,8,0,2,9,4,17,1,2,0.283,0.325,0.407
Rutledge,J,2B,73,277,37,76,20,5,8,37,9,54,7,0,0.274,0.306,0.469
Scutaro,M,2B,95,377,47,102,16,3,4,30,27,35,7,3,0.271,0.324,0.361
Rosario,W,C,117,396,67,107,19,0,28,71,25,99,4,5,0.27,0.312,0.53
Herrera,J,SS,86,225,29,59,9,1,3,12,16,39,4,1,0.262,0.317,0.351
Cuddyer,M,RF,101,358,53,93,30,2,16,58,32,78,8,3,0.26,0.317,0.489
Chatwood,T,P,23,16,1,4,1,0,0,1,1,3,0,0,0.25,0.294,0.313
Helton,T,1B,69,240,31,57,16,1,7,37,39,44,1,1,0.238,0.343,0.4

                            
