lname,finit,position,games,ab,runs,hits,doubles,triples,hr,rbi,bb,so,sb,cs,avg,obp,slg
Mazzaro,V,P,2,4,0,2,0,0,0,1,0,2,0,0,0.5,0.5,0.5
Falu,I,2B,24,85,14,29,6,1,0,7,4,9,0,2,0.341,0.371,0.435
Butler,B,DH,161,614,72,192,32,1,29,107,54,111,2,1,0.313,0.373,0.51
Perez,S,C,76,289,38,87,16,0,11,39,12,27,0,0,0.301,0.328,0.471
Gordon,A,LF,161,642,93,189,51,5,14,72,73,140,10,5,0.294,0.368,0.455
Escobar,A,SS,155,605,68,177,30,7,5,52,27,100,35,5,0.293,0.331,0.39
Getz,C,2B,64,189,22,52,10,3,0,17,11,17,9,3,0.275,0.312,0.36
Cain,L,CF,61,222,27,59,9,2,7,31,15,56,10,0,0.266,0.316,0.419
Dyson,J,CF,102,292,52,76,8,5,0,9,30,56,30,5,0.26,0.328,0.322
Bourgeois,J,CF,30,62,10,16,2,1,0,5,4,4,5,4,0.258,0.303,0.323
Abreu,T,2B,22,70,5,18,2,1,1,15,2,13,0,0,0.257,0.284,0.357
Moustakas,M,3B,149,563,69,136,34,1,20,73,39,124,5,2,0.242,0.296,0.412
Giavotella,J,2B,53,181,21,43,7,1,1,15,8,35,3,0,0.238,0.27,0.304
Lough,D,CF,20,59,9,14,2,1,0,2,4,9,1,0,0.237,0.292,0.305
Pena,B,C,68,212,16,50,10,1,2,25,9,24,0,1,0.236,0.262,0.321
Francoeur,J,RF,148,561,58,132,26,3,16,49,34,119,4,7,0.235,0.287,0.378
Quintero,H,C,43,138,7,32,12,0,1,19,4,28,0,1,0.232,0.257,0.341
Hosmer,E,1B,152,535,65,124,22,2,14,60,56,95,16,1,0.232,0.304,0.359
Betancourt,Y,2B,57,215,21,49,14,1,7,36,9,25,0,1,0.228,0.256,0.4
Chen,B,P,4,5,0,1,0,0,0,0,0,3,0,0,0.2,0.2,0.2

                            
