lname,finit,position,games,ab,runs,hits,doubles,triples,hr,rbi,bb,so,sb,cs,avg,obp,slg
Mauer,J,C,147,545,81,174,31,4,10,85,90,88,8,4,0.319,0.416,0.446
Revere,B,RF,124,511,70,150,13,6,0,32,29,54,40,9,0.294,0.333,0.342
Span,D,CF,128,516,71,146,38,4,4,41,47,62,17,6,0.283,0.342,0.395
Doumit,R,C,134,484,56,133,34,1,18,75,29,98,0,0,0.275,0.32,0.461
Carroll,J,2B,138,470,65,126,18,1,1,40,52,65,9,5,0.268,0.343,0.317
Morneau,J,1B,134,505,63,135,26,2,19,77,49,102,1,0,0.267,0.333,0.44
Willingham,J,LF,145,519,85,135,30,1,35,110,76,141,3,2,0.26,0.366,0.524
Mastroianni,D,LF,77,163,22,41,3,2,3,17,18,45,21,3,0.252,0.328,0.35
Casilla,A,2B,106,299,33,72,17,2,1,30,16,52,21,1,0.241,0.282,0.321
Plouffe,T,3B,119,422,56,99,19,1,24,55,37,92,1,3,0.235,0.301,0.455
Dozier,B,2B,84,316,33,74,11,1,6,33,16,58,9,2,0.234,0.271,0.332
Parmelee,C,RF,64,192,18,44,10,2,5,19,13,52,0,0,0.229,0.29,0.38
Carson,M,RF,26,66,3,15,1,0,0,4,2,21,0,0,0.227,0.246,0.242
Escobar,E,SS,14,44,4,10,0,0,0,6,2,8,1,0,0.227,0.271,0.227
Florimon,P,SS,43,137,16,30,5,2,1,10,10,30,3,1,0.219,0.272,0.307
Komatsu,E,RF,15,32,2,7,0,0,0,1,4,3,0,0,0.219,0.297,0.219
Hughes,L,2B,4,10,0,2,0,0,0,2,0,4,1,0,0.2,0.182,0.2
Valencia,D,3B,34,126,13,25,6,1,2,17,3,32,0,1,0.198,0.212,0.31
Butera,D,C,42,111,7,22,6,0,1,5,9,26,0,0,0.198,0.27,0.279
Diamond,S,P,3,7,1,1,0,0,0,0,0,4,0,0,0.143,0.143,0.143

                            
