lname,finit,position,games,ab,runs,hits,doubles,triples,hr,rbi,bb,so,sb,cs,avg,obp,slg
Gimenez,H,C,5,11,1,5,0,0,0,1,0,3,0,0,0.455,0.455,0.455
Johnson,D,1B,14,22,8,8,1,0,3,6,9,3,0,0,0.364,0.548,0.818
Rios,A,RF,157,605,93,184,37,8,25,91,26,92,23,6,0.304,0.334,0.516
Konerko,P,1B,144,533,66,159,22,0,26,75,56,83,0,0,0.298,0.371,0.486
DeAza,A,LF,131,524,81,147,29,6,9,50,47,109,26,12,0.281,0.349,0.41
Pierzynski,A,C,135,479,68,133,18,4,27,77,28,78,0,0,0.278,0.326,0.501
Ramirez,A,SS,158,593,59,157,24,4,9,73,16,77,20,7,0.265,0.287,0.364
Wise,D,OF,45,163,20,42,7,1,5,22,9,40,12,4,0.258,0.295,0.405
Viciedo,D,LF,147,505,64,129,18,1,25,78,28,120,0,2,0.255,0.3,0.444
Olmedo,R,SS,20,41,8,10,2,0,0,1,0,9,0,0,0.244,0.244,0.293
Youkilis,K,3B,80,292,47,69,8,1,15,46,37,69,0,0,0.236,0.346,0.425
Beckham,G,2B,151,525,62,123,24,0,16,60,40,89,5,4,0.234,0.296,0.371
Danks,J,LF,50,67,12,15,1,0,1,4,6,16,3,1,0.224,0.28,0.284
Lopez,J,2B,15,23,2,5,1,0,0,0,1,6,0,0,0.217,0.25,0.261
Flowers,T,C,52,136,19,29,6,0,7,13,12,56,2,1,0.213,0.296,0.412
Escobar,E,SS,36,87,14,18,4,1,0,3,9,23,2,0,0.207,0.281,0.276
Dunn,A,1B,151,539,87,110,19,0,41,96,105,222,2,1,0.204,0.333,0.468
Humber,P,P,2,5,0,1,0,0,0,1,0,2,0,0,0.2,0.2,0.2
Hudson,O,3B,51,137,10,27,3,3,2,17,12,24,3,1,0.197,0.262,0.307
Morel,B,3B,35,113,14,20,2,0,0,5,7,39,4,1,0.177,0.225,0.195

                            
