lname,finit,position,games,ab,runs,hits,doubles,triples,hr,rbi,bb,so,sb,cs,avg,obp,slg
Mesa,M,CF,3,2,0,1,0,0,0,1,0,0,0,0,0.5,0.5,0.5
Gardner,B,CF,16,31,7,10,2,0,0,3,5,7,2,2,0.323,0.417,0.387
Suzuki,I,RF,67,227,28,73,13,1,5,27,5,21,14,5,0.322,0.34,0.454
Jeter,D,SS,159,683,99,216,32,0,15,58,45,90,9,4,0.316,0.362,0.429
Cano,R,2B,161,627,105,196,48,1,33,94,61,96,3,2,0.313,0.379,0.55
Nunez,E,SS,38,89,14,26,4,1,1,11,6,12,11,2,0.292,0.33,0.393
Dickerson,C,LF,25,14,5,4,0,0,2,5,3,5,3,0,0.286,0.412,0.714
Chavez,E,3B,113,278,36,78,12,0,16,37,30,59,0,0,0.281,0.348,0.496
Rodriguez,A,3B,122,463,74,126,17,1,18,57,51,116,13,1,0.272,0.353,0.43
Swisher,N,RF,148,537,75,146,36,0,24,93,77,141,2,3,0.272,0.364,0.473
Wise,D,CF,55,61,11,16,3,1,3,8,2,12,7,0,0.262,0.286,0.492
Teixeira,M,1B,123,451,66,113,27,1,24,84,54,83,2,1,0.251,0.332,0.475
Pena,R,SS,3,4,0,1,0,0,0,0,0,0,0,0,0.25,0.25,0.25
Pettitte,A,P,3,4,0,1,0,0,0,0,0,2,0,0,0.25,0.25,0.25
Nix,J,3B,74,177,24,43,13,0,4,18,14,53,6,3,0.243,0.306,0.384
Stewart,C,C,55,141,15,34,8,0,1,13,10,21,2,0,0.241,0.292,0.319
Ibanez,R,LF,130,384,50,92,19,3,19,62,35,67,3,0,0.24,0.308,0.453
Granderson,C,CF,160,596,102,138,18,4,43,106,75,195,10,3,0.232,0.319,0.492
Martin,R,C,133,422,50,89,18,0,21,53,53,95,6,1,0.211,0.311,0.403
Jones,A,RF,94,233,27,46,7,0,14,34,28,71,0,0,0.197,0.294,0.408

                            
