Trout,M,CF,157,589,109,190,39,9,27,97,110,136,33,7,0.323,0.432,0.557
Kendrick,H,2B,122,478,55,142,21,4,13,54,23,89,6,3,0.297,0.335,0.439
Shuck,J,LF,129,437,60,128,20,3,2,39,27,54,8,4,0.293,0.331,0.366
Calhoun,K,RF,58,195,29,55,7,2,8,32,21,41,2,2,0.282,0.347,0.462
Green,G,2B,40,125,16,35,8,1,1,16,10,38,0,0,0.280,0.336,0.384
Bourjos,P,CF,55,175,26,48,3,3,3,12,10,43,6,0,0.274,0.333,0.377
Aybar,E,SS,138,550,68,149,33,5,6,54,23,59,12,7,0.271,0.301,0.382
Jimenez,L,3B,34,104,15,27,6,0,0,5,2,28,0,2,0.260,0.291,0.317
Romine,A,3B,47,108,9,28,3,0,0,10,7,24,1,0,0.259,0.308,0.287
Pujols,A,1B,99,391,49,101,19,0,17,64,40,55,1,1,0.258,0.330,0.437
Callaspo,A,3B,86,294,32,74,13,0,5,36,34,22,0,2,0.252,0.324,0.347
Hamilton,J,RF,151,576,73,144,32,5,21,79,47,158,4,0,0.250,0.307,0.432
Navarro,E,1B,4,4,0,1,0,0,0,1,2,1,1,0,0.250,0.500,0.250
Conger,H,C,92,233,23,58,13,1,7,21,17,61,0,1,0.249,0.310,0.403
Trumbo,M,1B,159,620,85,145,30,2,34,100,54,184,5,2,0.234,0.294,0.453
Cowgill,C,LF,50,91,11,21,3,2,2,8,5,27,1,0,0.231,0.271,0.374
Iannetta,C,C,115,325,40,73,15,0,11,39,68,100,0,1,0.225,0.358,0.372
Nelson,C,3B,33,109,10,24,1,2,3,18,8,36,2,1,0.220,0.277,0.349
Harris,B,SS,44,107,14,22,4,0,4,9,6,29,0,1,0.206,0.252,0.355
Hawpe,B,RF,17,27,2,5,0,0,0,2,5,14,0,0,0.185,0.313,0.185
