Hoes,L,OF,46,167,24,48,7,2,1,10,12,34,7,1,0.287,0.337,0.371
Stassi,M,C,3,7,0,2,0,0,0,1,0,2,0,0,0.286,0.375,0.286
Altuve,J,2B,152,626,64,177,31,2,5,52,32,85,35,13,0.283,0.316,0.363
Castro,J,C,120,435,63,120,35,1,18,56,50,130,2,1,0.276,0.350,0.485
Grossman,R,LF,63,257,29,69,14,0,4,21,23,70,6,7,0.268,0.332,0.370
Harrell,L,P,4,4,0,1,0,0,0,0,2,2,0,0,0.250,0.500,0.250
Martinez,J,LF,86,296,24,74,17,0,7,36,10,82,2,0,0.250,0.272,0.378
Norris,B,P,2,4,0,1,0,0,0,0,0,0,0,0,0.250,0.250,0.250
Villar,J,SS,58,210,26,51,9,2,1,8,24,71,18,8,0.243,0.321,0.319
Elmore,J,SS,52,120,16,29,4,0,2,6,13,20,1,6,0.242,0.313,0.325
Dominguez,M,3B,152,543,56,131,25,0,21,77,30,96,0,1,0.241,0.286,0.403
Maxwell,J,CF,40,137,21,33,10,2,2,8,12,43,4,1,0.241,0.311,0.387
Barnes,B,CF,136,408,46,98,17,1,8,41,21,127,11,11,0.240,0.289,0.346
Corporan,C,C,64,191,16,43,5,0,7,20,10,60,0,0,0.225,0.287,0.361
Carter,C,1B,148,506,64,113,24,2,29,82,70,212,2,0,0.223,0.320,0.451
Wallace,B,1B,79,262,35,58,14,1,13,36,18,104,1,1,0.221,0.284,0.431
Gonzalez,M,SS,72,204,22,45,8,0,4,14,9,37,6,2,0.221,0.252,0.319
Cedeno,R,SS,51,141,12,31,6,1,1,12,6,42,2,1,0.220,0.260,0.298
Crowe,T,RF,60,165,18,36,7,1,1,13,16,39,6,1,0.218,0.287,0.291
Pena,C,1B,85,277,38,58,13,1,8,25,43,89,1,3,0.209,0.324,0.350
