Suzuki,K,C,15,33,6,10,2,0,2,7,2,3,0,0,0.303,0.343,0.545
Donaldson,J,3B,158,579,89,174,37,3,24,93,76,110,5,2,0.301,0.384,0.499
Lowrie,J,SS,154,603,80,175,45,2,15,75,50,91,1,0,0.290,0.344,0.446
Choice,M,RF,9,18,2,5,1,0,0,0,1,6,0,0,0.278,0.316,0.333
Freiman,N,1B,80,190,10,52,8,1,4,24,14,31,0,0,0.274,0.327,0.389
Jaso,J,C,70,207,31,56,12,0,3,21,38,45,2,1,0.271,0.387,0.372
Callaspo,A,2B,50,159,20,43,7,0,5,22,19,25,0,0,0.270,0.350,0.409
Barton,D,1B,37,104,15,28,2,0,3,16,13,18,0,0,0.269,0.350,0.375
Sogard,E,2B,130,368,45,98,24,3,2,35,27,51,10,5,0.266,0.322,0.364
Crisp,C,CF,131,513,93,134,22,3,22,66,61,65,21,5,0.261,0.335,0.444
Moss,B,1B,145,446,73,114,23,3,30,87,50,140,4,2,0.256,0.337,0.522
Smith,S,LF,117,368,49,93,27,0,8,40,39,94,0,0,0.253,0.329,0.391
Vogt,S,C,47,135,18,34,6,1,4,16,9,28,0,1,0.252,0.295,0.400
Milone,T,P,3,8,2,2,0,0,0,1,0,1,0,0,0.250,0.250,0.250
Norris,D,C,98,264,41,65,16,0,9,30,37,71,5,0,0.246,0.345,0.409
Cespedes,Y,LF,135,529,74,127,21,4,26,80,37,137,7,7,0.240,0.294,0.442
Reddick,J,RF,114,385,54,87,19,2,12,56,46,86,9,2,0.226,0.307,0.379
Young,C,CF,107,335,46,67,18,3,12,40,36,93,10,3,0.200,0.280,0.379
Rosales,A,SS,51,136,11,26,5,0,4,8,10,31,0,0,0.191,0.267,0.316
Montz,L,C,13,28,2,5,3,0,1,5,1,8,0,0,0.179,0.200,0.393
