Dickey,R,P,2,6,2,2,1,0,0,1,0,0,0,0,0.333,0.333,0.500
Reyes,J,SS,93,382,58,113,20,0,10,37,34,47,15,6,0.296,0.353,0.427
Sierra,M,RF,35,107,11,31,13,1,1,13,14,29,1,0,0.290,0.369,0.458
Lind,A,1B,143,465,67,134,26,1,23,67,51,103,1,0,0.288,0.357,0.497
Cabrera,M,LF,88,344,39,96,15,2,3,30,23,47,2,2,0.279,0.322,0.360
Rasmus,C,CF,118,417,57,115,26,1,22,66,37,135,0,1,0.276,0.338,0.501
Langerhans,R,1B,4,11,3,3,0,0,0,0,2,2,1,0,0.273,0.385,0.273
Encarnacion,E,1B,142,530,90,144,29,1,36,104,82,62,7,1,0.272,0.370,0.534
Davis,R,LF,108,331,49,86,16,2,6,24,21,67,45,6,0.260,0.312,0.375
Bautista,J,RF,118,452,82,117,24,0,28,73,69,84,7,2,0.259,0.358,0.498
Gose,A,CF,52,147,15,38,6,5,2,12,5,37,4,3,0.259,0.283,0.408
Lawrie,B,3B,107,401,41,102,18,3,11,46,30,68,9,5,0.254,0.315,0.397
Goins,R,2B,34,119,11,30,5,0,2,8,2,28,0,0,0.252,0.264,0.345
Izturis,M,2B,107,365,33,86,12,0,5,32,27,38,1,5,0.236,0.288,0.310
DeRosa,M,2B,88,204,23,48,12,1,7,36,28,49,0,0,0.235,0.326,0.407
Kawasaki,M,SS,96,240,27,55,6,5,1,24,32,41,7,1,0.229,0.326,0.308
Bonifacio,E,2B,94,262,33,57,16,1,3,20,13,66,12,6,0.218,0.258,0.321
Pillar,K,LF,36,102,11,21,4,0,3,13,4,29,0,1,0.206,0.250,0.333
Arencibia,J,C,138,474,45,92,18,0,21,55,18,148,0,2,0.194,0.227,0.365
Blanco,H,C,15,38,3,7,3,0,0,0,4,10,0,0,0.184,0.262,0.263
