DeWitt,B,3B,4,3,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.667
Gosselin,P,2B,4,6,2,2,0,0,0,0,1,2,0,0,0.333,0.429,0.333
Johnson,C,3B,142,514,54,165,34,0,12,68,29,116,0,0,0.321,0.358,0.457
Freeman,F,1B,147,551,89,176,27,2,23,109,66,121,1,0,0.319,0.396,0.501
Pastornicky,T,2B,20,30,5,9,1,0,0,0,1,5,0,0,0.300,0.323,0.333
Laird,G,C,47,121,12,34,8,0,1,13,14,23,1,1,0.281,0.367,0.372
Pena,R,2B,50,97,14,27,5,1,3,12,8,18,0,2,0.278,0.330,0.443
Upton,J,LF,149,558,94,147,27,2,27,70,75,161,8,1,0.263,0.354,0.464
Johnson,E,2B,32,92,8,24,5,2,0,10,8,18,8,2,0.261,0.317,0.359
Constanza,J,LF,21,31,2,8,0,0,0,3,0,5,0,3,0.258,0.258,0.258
McCann,B,C,102,356,43,91,13,0,20,57,39,66,0,1,0.256,0.336,0.461
Heyward,J,RF,104,382,67,97,22,1,14,38,48,73,2,4,0.254,0.349,0.427
Cunningham,T,LF,8,8,2,2,0,0,0,0,0,3,0,0,0.250,0.250,0.250
Simmons,A,SS,157,606,76,150,27,6,17,59,40,55,6,5,0.248,0.296,0.396
Schafer,J,CF,94,231,32,57,8,3,3,21,29,73,22,6,0.247,0.331,0.346
Johnson,R,RF,74,123,13,30,7,1,1,11,6,32,0,0,0.244,0.311,0.341
Gattis,E,C,105,354,44,86,21,0,21,65,21,81,0,0,0.243,0.291,0.480
Francisco,J,3B,35,108,10,26,2,0,5,16,7,43,0,1,0.241,0.287,0.398
Teheran,J,P,30,58,1,13,3,0,0,2,2,16,0,0,0.224,0.250,0.276
Terdoslavich,J,LF,55,79,11,17,4,0,0,4,12,24,1,0,0.215,0.315,0.266
