Gennett,S,2B,69,213,29,69,11,2,6,21,10,42,2,1,0.324,0.356,0.479
Braun,R,RF,61,225,30,67,14,2,9,38,27,56,4,5,0.298,0.372,0.498
Segura,J,SS,146,588,74,173,20,10,12,49,25,84,44,13,0.294,0.329,0.423
Aoki,N,RF,155,597,80,171,20,3,8,37,55,40,20,12,0.286,0.356,0.370
Gomez,C,CF,147,536,80,152,27,10,24,73,37,146,40,7,0.284,0.338,0.506
Ramirez,A,3B,92,304,43,86,18,0,12,49,36,55,0,1,0.283,0.370,0.461
Lucroy,J,C,147,521,59,146,25,6,18,82,46,69,9,1,0.280,0.340,0.455
Davis,K,LF,56,136,27,38,10,0,11,27,11,34,3,0,0.279,0.353,0.596
Figaro,A,P,31,12,1,3,0,0,0,2,0,5,0,0,0.250,0.250,0.250
Gindl,C,LF,57,132,17,32,7,2,5,14,20,25,2,1,0.242,0.340,0.439
Halton,S,1B,42,101,9,24,4,0,4,17,5,31,0,0,0.238,0.291,0.396
Bianchi,J,3B,100,236,22,56,8,1,1,25,11,46,4,4,0.237,0.272,0.292
Francisco,J,1B,89,240,26,53,10,1,13,32,25,95,0,1,0.221,0.300,0.433
Betancourt,Y,1B,137,391,35,83,15,1,13,46,14,71,0,0,0.212,0.240,0.355
Schafer,L,LF,134,298,29,63,15,3,4,33,25,60,7,1,0.211,0.279,0.322
Gallardo,Y,P,32,57,4,12,2,0,2,4,0,29,0,0,0.211,0.211,0.351
Weeks,R,2B,104,350,40,73,20,1,10,24,40,105,7,3,0.209,0.306,0.357
Estrada,M,P,19,34,1,7,1,0,0,2,1,16,0,0,0.206,0.229,0.235
Gonzalez,A,1B,41,113,14,20,3,0,1,8,3,26,0,0,0.177,0.203,0.230
Maldonado,M,C,67,183,13,31,7,1,4,22,13,53,0,0,0.169,0.236,0.284
