Molina,Y,C,136,505,68,161,44,0,12,80,30,55,3,2,0.319,0.359,0.477
Carpenter,M,3B,157,626,126,199,55,7,11,78,72,98,3,3,0.318,0.392,0.481
Craig,A,RF,134,508,71,160,29,2,13,97,40,100,2,0,0.315,0.373,0.457
Holliday,M,LF,141,520,103,156,31,1,22,94,69,86,6,1,0.300,0.389,0.490
Beltran,C,RF,145,554,79,164,30,3,24,84,38,90,2,1,0.296,0.339,0.491
Adams,M,1B,108,296,46,84,14,0,17,51,23,80,0,1,0.284,0.335,0.503
Jay,J,CF,157,548,75,151,27,2,7,67,52,103,10,5,0.276,0.351,0.370
Freese,D,3B,138,462,53,121,26,1,9,60,47,106,1,2,0.262,0.340,0.381
Robinson,S,RF,99,144,22,36,2,1,2,16,23,17,5,1,0.250,0.345,0.319
Descalso,D,SS,123,328,43,78,25,1,5,43,22,56,6,3,0.238,0.290,0.366
Kozma,P,SS,143,410,44,89,20,0,1,35,34,91,3,1,0.217,0.275,0.273
Wainwright,A,P,32,71,4,15,4,0,0,6,0,23,0,0,0.211,0.208,0.268
Cruz,T,C,51,123,13,25,6,1,1,13,4,25,0,0,0.203,0.240,0.293
Maness,S,P,64,5,0,1,0,0,0,0,0,3,0,0,0.200,0.200,0.200
Westbrook,J,P,19,34,5,6,2,0,0,4,4,12,1,0,0.176,0.263,0.235
Johnson,R,C,20,35,2,6,1,1,0,2,3,6,0,0,0.171,0.237,0.257
Lyons,T,P,11,12,0,2,0,0,0,0,0,4,0,0,0.167,0.167,0.167
Wigginton,T,1B,47,57,9,9,2,0,0,3,5,19,0,1,0.158,0.238,0.193
Chambers,A,LF,25,26,5,4,1,0,0,1,3,11,0,1,0.154,0.241,0.192
Wong,K,2B,32,59,6,9,1,0,0,0,3,12,3,0,0.153,0.194,0.169
