McDonald,D,RF,25,53,4,16,4,0,1,5,4,8,0,0,0.302,0.351,0.434
Navarro,D,C,89,240,31,72,7,0,13,34,23,36,0,1,0.300,0.365,0.492
Lake,J,LF,64,236,26,67,16,0,6,16,13,68,4,4,0.284,0.332,0.428
Castillo,W,C,113,380,41,104,23,0,8,32,34,97,2,0,0.274,0.349,0.397
Bogusevic,B,LF,47,143,18,39,7,1,6,16,10,35,2,0,0.273,0.323,0.462
Sweeney,R,CF,70,192,19,51,13,2,6,19,17,31,1,0,0.266,0.324,0.448
Murphy,D,3B,46,149,23,38,8,0,11,23,8,48,2,0,0.255,0.319,0.530
Soriano,A,LF,93,362,47,92,24,1,17,51,15,89,10,5,0.254,0.287,0.467
Schierholtz,N,RF,137,462,56,116,32,3,21,68,29,94,6,3,0.251,0.301,0.470
DeJesus,D,CF,84,284,39,71,19,3,6,27,29,55,3,0,0.250,0.330,0.401
Castro,S,SS,161,666,59,163,34,2,10,44,30,129,9,6,0.245,0.284,0.347
Gillespie,C,LF,25,50,6,12,2,0,0,4,6,13,0,0,0.240,0.328,0.280
Sappelt,D,CF,31,75,6,18,3,0,0,4,3,14,3,1,0.240,0.269,0.280
Rizzo,A,1B,160,606,71,141,40,2,23,80,76,127,6,5,0.233,0.323,0.419
Boscan,J,C,6,9,1,2,1,0,0,0,0,2,0,0,0.222,0.300,0.333
Garza,M,P,8,18,1,4,1,0,0,2,0,9,0,0,0.222,0.263,0.278
Wood,T,P,35,63,8,14,1,0,3,8,3,21,1,0,0.222,0.258,0.381
Valbuena,L,3B,108,331,34,72,15,1,12,37,53,63,1,4,0.218,0.331,0.378
Gonzalez,A,2B,11,23,3,5,1,0,1,2,2,6,0,0,0.217,0.269,0.391
Watkins,L,2B,27,38,2,8,1,0,0,0,3,14,0,0,0.211,0.268,0.237
