Bloomquist,W,2B,48,139,16,44,5,1,0,14,8,11,0,2,0.317,0.360,0.367
Goldschmidt,P,1B,160,602,103,182,36,3,36,125,99,145,15,7,0.302,0.401,0.952
Nieves,W,C,71,195,16,58,11,0,1,22,8,32,0,0,0.297,0.320,0.369
Owings,C,SS,20,55,5,16,5,0,0,5,6,10,2,0,0.291,0.361,0.382
Hill,A,2B,87,327,45,95,21,1,11,41,29,48,1,4,0.291,0.356,0.462
Prado,M,3B,155,609,70,172,36,2,14,82,47,53,3,5,0.282,0.333,0.417
Chavez,E,3B,80,228,28,64,14,2,9,44,19,45,1,0,0.281,0.332,0.478
Ross,C,LF,94,317,33,88,17,1,8,38,25,50,3,2,0.278,0.331,0.413
Pollock,A,CF,137,443,64,119,28,5,8,38,33,82,12,3,0.269,0.322,0.409
Parra,G,RF,156,601,79,161,43,4,10,48,48,100,10,10,0.268,0.323,0.403
Campana,T,CF,29,46,10,12,0,1,0,0,8,14,8,2,0.261,0.370,0.304
Gregorius,D,SS,103,357,47,90,16,3,7,28,37,65,0,2,0.252,0.332,0.373
Eaton,A,LF,66,250,40,63,10,4,3,22,17,44,5,2,0.252,0.314,0.360
Pennington,C,SS,96,269,25,65,13,1,1,18,26,54,2,0,0.242,0.310,0.309
Davidson,M,3B,31,76,8,18,6,0,3,12,10,24,0,1,0.237,0.333,0.434
Montero,M,C,116,413,44,95,14,0,11,42,51,110,0,0,0.230,0.318,0.344
Kubel,J,LF,89,241,21,53,8,1,5,32,24,82,0,1,0.220,0.288,0.324
Delgado,R,P,20,32,2,7,0,0,0,1,1,13,0,0,0.219,0.242,0.219
Skaggs,T,P,7,10,0,2,0,0,0,1,0,5,0,0,0.200,0.200,0.200
Wilson,J,2B,30,60,9,12,1,1,1,4,5,17,0,0,0.200,0.262,0.300
