Ramirez,H,SS,86,304,62,105,25,2,20,57,27,52,10,2,0.345,0.402,0.638
Greinke,Z,P,29,58,5,19,3,0,0,4,7,10,2,0,0.328,0.409,0.379
Puig,Y,RF,104,382,66,122,21,2,19,42,36,97,11,8,0.319,0.391,0.534
Young,M,3B,21,51,3,16,2,1,0,4,1,5,0,0,0.314,0.321,0.392
Gonzalez,A,1B,157,583,69,171,32,0,22,100,47,98,1,0,0.293,0.342,0.461
Crawford,C,LF,116,435,62,123,30,3,6,31,28,66,15,4,0.283,0.329,0.407
Uribe,J,3B,132,388,47,108,22,2,12,50,30,81,5,0,0.278,0.331,0.438
Ethier,A,CF,142,482,54,131,33,2,12,52,61,95,4,3,0.272,0.360,0.423
Ellis,M,2B,126,433,46,117,13,2,6,48,26,74,4,1,0.270,0.323,0.351
Kemp,M,CF,73,263,35,71,15,0,6,33,22,76,9,0,0.270,0.328,0.395
Schumaker,S,CF,125,319,31,84,16,0,2,30,28,54,2,2,0.263,0.332,0.332
Punto,N,SS,116,294,34,75,15,0,2,21,33,67,3,3,0.255,0.328,0.327
Herrera,E,LF,4,8,0,2,0,0,0,0,0,2,0,0,0.250,0.250,0.250
Van Slyke,S,LF,53,129,13,31,8,0,7,19,20,37,1,1,0.240,0.342,0.465
Ellis,A,C,115,390,43,93,17,1,10,52,45,78,0,2,0.238,0.318,0.364
Gordon,D,2B,38,94,9,22,1,1,1,6,10,21,10,2,0.234,0.314,0.298
Federowicz,T,C,56,160,12,37,8,0,4,16,10,56,0,0,0.231,0.275,0.356
Hairston,J,3B,96,204,17,43,7,0,2,22,14,22,0,0,0.211,0.265,0.275
Hernandez,R,C,17,48,4,10,2,0,3,6,6,7,1,0,0.208,0.291,0.438
Ryu,H,P,27,58,5,12,3,1,0,5,2,23,0,0,0.207,0.233,0.293
