Scutaro,M,2B,127,488,57,145,23,3,2,31,45,34,2,0,0.297,0.357,0.369
Posey,B,C,148,520,61,153,34,1,15,72,60,70,2,1,0.294,0.371,0.450
Belt,B,1B,150,509,76,147,39,4,17,67,52,125,5,2,0.289,0.360,0.481
Pence,H,RF,162,629,91,178,35,5,27,99,52,115,22,3,0.283,0.339,0.483
Pagan,A,CF,71,280,44,79,16,3,5,30,23,36,9,4,0.282,0.334,0.414
Sandoval,P,3B,141,525,52,146,27,2,14,79,47,79,0,0,0.278,0.341,0.417
Arias,J,3B,102,225,17,61,9,2,1,19,4,33,1,0,0.271,0.284,0.342
Abreu,T,2B,53,138,21,37,12,3,2,14,6,33,0,2,0.268,0.301,0.442
Tanaka,K,LF,15,30,4,8,0,0,0,2,4,3,2,0,0.267,0.353,0.267
Blanco,G,CF,141,452,50,120,17,6,3,41,52,95,14,9,0.265,0.341,0.350
Perez,J,CF,34,89,8,23,5,0,1,8,6,21,2,0,0.258,0.302,0.348
Torres,A,LF,103,272,33,68,17,1,2,21,22,61,4,3,0.250,0.302,0.342
Crawford,B,SS,149,499,52,124,24,3,9,43,42,96,1,2,0.248,0.311,0.363
Sanchez,H,C,63,129,8,32,4,0,3,19,7,29,0,0,0.248,0.300,0.349
Pill,B,1B,48,85,11,19,4,0,3,12,5,17,0,0,0.224,0.272,0.376
Adrianza,E,SS,9,18,3,4,1,0,1,3,1,5,0,0,0.222,0.263,0.444
Noonan,N,2B,62,105,12,23,2,0,0,5,6,24,0,0,0.219,0.261,0.238
Peguero,F,LF,18,29,4,6,1,0,1,1,1,2,2,0,0.207,0.233,0.345
Kieschnick,R,LF,38,84,6,17,0,1,0,5,11,29,0,0,0.202,0.295,0.226
Francoeur,J,RF,22,62,1,12,2,0,0,4,1,12,1,0,0.194,0.206,0.226
