Carson,M,RF,20,11,5,7,0,0,1,3,1,1,3,0,0.636,0.692,0.909
Carrera,E,RF,2,4,1,2,0,0,0,1,0,1,0,0,0.500,0.500,0.500
Masterson,J,P,1,2,0,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500
Ramirez,J,2B,15,12,5,4,0,1,0,0,2,2,0,1,0.333,0.429,0.500
Gomes,Y,C,88,293,45,86,18,2,11,38,18,67,2,0,0.294,0.345,0.481
Brantley,M,LF,151,556,66,158,26,3,10,73,40,67,17,4,0.284,0.332,0.396
Kipnis,J,2B,149,564,86,160,36,4,17,84,76,143,30,7,0.284,0.366,0.452
Raburn,R,RF,86,243,40,66,18,0,16,55,29,67,0,0,0.272,0.357,0.543
Santana,C,3B,154,541,75,145,39,1,20,74,93,110,3,1,0.268,0.377,0.455
Bourn,M,CF,130,525,75,138,21,6,6,50,40,132,23,12,0.263,0.316,0.360
Aviles,M,3B,124,361,54,91,15,0,9,46,15,41,8,5,0.252,0.282,0.368
Kazmir,S,P,2,4,0,1,0,0,0,0,0,1,0,0,0.250,0.250,0.250
Swisher,N,1B,145,549,74,135,27,2,22,63,77,138,1,0,0.246,0.341,0.423
Cabrera,A,SS,136,508,66,123,35,2,14,64,35,114,9,3,0.242,0.299,0.402
Stubbs,D,RF,146,430,59,100,21,2,10,45,44,141,17,2,0.233,0.305,0.360
Chisenhall,L,3B,94,289,30,65,17,0,11,36,16,56,1,0,0.225,0.270,0.398
Reynolds,M,3B,99,335,40,72,8,0,15,48,43,123,3,0,0.215,0.307,0.373
Giambi,J,DH,71,186,21,34,8,0,9,31,23,56,0,1,0.183,0.282,0.371
Kubel,J,RF,8,18,0,3,1,0,0,0,5,10,0,0,0.167,0.348,0.222
Bauer,T,P,1,1,0,0,0,0,0,0,0,1,0,0,0.000,0.000,0.000
