Peguero,C,RF,2,6,1,2,0,0,1,1,1,2,1,0,0.333,0.429,0.833
Morales,K,1B,156,602,64,167,34,0,23,80,49,114,0,0,0.277,0.336,0.449
Chavez,E,RF,97,266,22,71,10,0,2,14,9,31,1,3,0.267,0.290,0.327
Miller,B,SS,76,306,41,81,11,6,8,36,24,52,5,3,0.265,0.318,0.418
Almonte,A,CF,25,72,10,19,4,0,2,9,6,21,1,0,0.264,0.313,0.403
Seager,K,3B,160,615,79,160,32,2,22,69,68,122,9,3,0.260,0.338,0.426
Ackley,D,LF,113,384,40,97,18,2,4,31,37,72,2,3,0.253,0.319,0.341
Gutierrez,F,RF,41,145,18,36,7,0,10,24,5,43,3,1,0.248,0.273,0.503
Ibanez,R,LF,124,454,54,110,20,2,29,65,42,128,0,0,0.242,0.306,0.487
Smoak,J,1B,131,454,53,108,19,0,20,50,64,119,0,0,0.238,0.334,0.412
Saunders,M,CF,132,406,59,96,23,3,12,46,54,118,13,5,0.236,0.323,0.397
Morse,M,LF,76,283,31,64,13,0,13,27,20,80,0,0,0.226,0.283,0.410
Franklin,N,2B,102,369,38,83,20,1,12,45,42,113,6,1,0.225,0.303,0.382
Quintero,H,C,22,67,5,15,1,0,2,4,3,15,0,0,0.224,0.257,0.328
Zunino,M,C,52,173,22,37,5,0,5,14,16,49,1,0,0.214,0.290,0.329
Montero,J,1B,29,101,6,21,1,1,3,9,8,21,0,1,0.208,0.264,0.327
Bay,J,RF,68,206,30,42,6,0,11,20,26,62,3,1,0.204,0.298,0.393
Shoppach,K,C,35,107,11,21,7,0,3,9,12,45,0,0,0.196,0.293,0.346
Ryan,B,SS,87,260,23,50,10,0,3,21,21,60,4,2,0.192,0.254,0.265
Sucre,J,C,8,26,1,5,0,0,0,3,2,1,0,0,0.192,0.241,0.192
