Flynn,B,P,4,5,0,2,0,0,0,0,0,2,0,0,0.400,0.400,0.400
Webb,R,P,61,3,1,1,0,0,0,0,0,2,0,0,0.333,0.333,0.333
Alvarez,H,P,17,30,2,9,3,0,1,6,0,12,0,0,0.300,0.290,0.500
Yelich,C,LF,62,240,34,69,12,1,4,16,31,66,10,0,0.288,0.370,0.396
Mahoney,J,1B,9,29,2,8,1,0,1,4,0,4,0,0,0.276,0.276,0.414
Ozuna,M,RF,70,275,31,73,17,4,3,32,13,57,5,1,0.265,0.303,0.389
Polanco,P,3B,118,377,33,98,13,0,1,23,23,31,2,0,0.260,0.315,0.302
Coghlan,C,LF,70,195,10,50,10,3,1,10,17,43,2,0,0.256,0.318,0.354
Lucas,E,3B,94,351,43,90,14,1,4,28,26,78,1,1,0.256,0.311,0.336
Stanton,G,RF,116,425,62,106,26,0,24,62,74,140,1,0,0.249,0.365,0.480
Solano,D,2B,102,361,33,90,13,1,3,34,23,57,3,1,0.249,0.305,0.316
Pierre,J,LF,113,308,36,76,11,2,1,8,13,27,23,6,0.247,0.284,0.305
Morrison,L,1B,85,293,32,71,13,4,6,36,38,56,0,0,0.242,0.333,0.375
Green,N,2B,18,55,4,13,2,0,1,6,3,14,0,0,0.236,0.302,0.327
Dobbs,G,1B,114,237,21,54,11,0,2,22,22,40,1,1,0.228,0.303,0.300
Hechavarria,A,SS,148,543,30,123,14,8,3,42,30,96,11,10,0.227,0.267,0.298
Ruggiano,J,CF,128,424,49,94,18,1,18,50,41,114,15,8,0.222,0.298,0.396
Fernandez,J,P,25,50,5,11,1,1,1,5,0,20,0,0,0.220,0.216,0.340
Valaika,C,2B,22,64,4,14,5,0,1,9,3,16,0,0,0.219,0.261,0.344
Dietrich,D,2B,57,215,32,46,10,2,9,23,11,56,1,0,0.214,0.275,0.405
