Wright,D,3B,112,430,63,132,23,6,18,58,55,79,17,3,0.307,0.390,0.514
Centeno,J,C,4,10,0,3,0,0,0,1,0,1,0,0,0.300,0.300,0.300
Lutz,Z,3B,15,20,2,6,2,0,0,2,6,6,0,0,0.300,0.462,0.400
Harang,A,P,4,7,1,2,0,0,0,0,0,3,0,0,0.286,0.286,0.286
Murphy,D,2B,161,658,92,188,38,4,13,78,32,95,23,3,0.286,0.319,0.415
Byrd,M,RF,117,425,61,121,26,5,21,71,25,124,2,4,0.285,0.330,0.518
Turner,J,3B,86,200,12,56,13,1,2,16,11,34,0,1,0.280,0.319,0.385
Satin,J,1B,75,190,23,53,15,0,3,17,30,56,1,1,0.279,0.376,0.405
Young,E,LF,91,374,48,94,18,4,1,26,35,67,38,7,0.251,0.318,0.329
Matsuzaka,D,P,6,12,0,3,0,0,0,1,0,5,0,0,0.250,0.250,0.250
Lagares,J,CF,121,392,35,95,21,5,4,34,20,96,6,3,0.242,0.281,0.352
Brown,A,RF,68,150,16,34,5,0,7,24,13,44,1,0,0.227,0.288,0.400
Duda,L,1B,100,318,42,71,16,0,15,33,55,102,0,3,0.223,0.352,0.415
Quintanilla,O,SS,95,315,28,70,9,2,2,21,38,70,2,0,0.222,0.306,0.283
Recker,A,C,50,135,17,29,7,0,6,19,13,49,0,1,0.215,0.280,0.400
Buck,J,C,101,368,38,79,11,0,15,60,29,99,2,1,0.215,0.285,0.367
Flores,W,3B,27,95,8,20,5,0,1,13,5,23,0,0,0.211,0.248,0.295
Den Dekker,M,CF,27,58,7,12,1,0,1,6,4,23,4,1,0.207,0.270,0.276
Niese,J,P,22,39,6,8,2,0,0,4,4,17,0,0,0.205,0.279,0.256
Davis,I,1B,103,317,37,65,14,0,9,33,57,101,4,0,0.205,0.326,0.334
