Duke,Z,P,12,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000
Walters,Z,SS,8,8,2,3,0,1,0,1,1,0,0,0,0.375,0.444,0.625
Werth,J,RF,129,462,84,147,24,0,25,82,60,101,10,1,0.318,0.398,0.532
Roark,T,P,13,14,0,4,1,0,0,1,0,5,0,0,0.286,0.286,0.357
Desmond,I,SS,158,600,77,168,38,3,20,80,43,145,21,6,0.280,0.331,0.453
Span,D,CF,153,610,75,170,28,11,4,47,42,77,20,6,0.279,0.327,0.380
Zimmerman,R,3B,147,568,84,156,26,2,26,79,60,133,6,0,0.275,0.344,0.465
Harper,B,LF,118,424,71,116,24,3,20,58,61,94,11,4,0.274,0.368,0.486
Ramos,W,C,78,287,29,78,9,0,16,59,15,42,0,1,0.272,0.307,0.470
Rendon,A,2B,98,351,40,93,23,1,7,35,31,69,1,1,0.265,0.329,0.396
Lombardozzi,S,2B,118,290,25,75,15,1,2,22,8,34,4,3,0.259,0.278,0.338
LaRoche,A,1B,152,511,70,121,19,3,20,62,72,131,4,1,0.237,0.332,0.403
Hairston,S,LF,33,58,5,13,3,0,2,7,2,19,0,0,0.224,0.246,0.379
Suzuki,K,C,79,252,19,56,11,1,3,25,20,32,2,0,0.222,0.283,0.310
Moore,T,LF,63,167,16,37,9,0,4,21,8,58,0,0,0.222,0.260,0.347
Tracy,C,3B,92,129,6,26,4,0,4,11,7,25,0,2,0.202,0.243,0.326
Bernadina,R,RF,85,152,18,27,6,1,2,6,12,44,3,0,0.178,0.247,0.270
Haren,D,P,29,47,2,8,3,0,0,2,1,17,0,0,0.170,0.204,0.234
Brown,C,LF,14,12,2,2,1,0,1,1,3,4,1,0,0.167,0.333,0.500
Kobernus,J,LF,24,30,8,5,0,0,1,1,5,6,3,2,0.167,0.306,0.267
