Norris,B,P,3,3,0,2,0,0,0,0,0,0,0,0,0.667,0.667,0.667
Valencia,D,DH,52,161,20,49,14,1,8,23,8,33,0,2,0.304,0.335,0.553
Davis,C,1B,160,584,103,167,42,1,53,138,72,199,4,1,0.286,0.370,0.634
Navarro,Y,2B,8,28,3,8,0,1,0,2,2,8,0,0,0.286,0.333,0.357
Schoop,J,2B,5,14,5,4,0,0,1,1,1,2,0,0,0.286,0.333,0.500
Jones,A,CF,160,653,100,186,35,1,33,108,25,136,14,3,0.285,0.318,0.493
Machado,M,3B,156,667,88,189,51,3,14,71,29,113,6,7,0.283,0.314,0.432
Urrutia,H,DH,24,58,5,16,0,1,0,2,0,11,0,0,0.276,0.276,0.310
Markakis,N,RF,160,634,89,172,24,0,10,59,55,76,1,2,0.271,0.329,0.356
Clevenger,S,C,4,15,1,4,1,0,0,2,0,2,0,0,0.267,0.267,0.333
Hardy,J,SS,159,601,66,158,27,0,25,76,38,73,2,1,0.263,0.306,0.433
Pearce,S,LF,44,119,14,31,7,0,4,13,15,25,1,0,0.261,0.362,0.420
McLouth,N,LF,146,531,76,137,31,4,12,36,53,86,30,7,0.258,0.329,0.399
Roberts,B,2B,77,265,33,66,12,1,8,39,26,44,3,1,0.249,0.312,0.392
Dickerson,C,LF,56,105,17,25,5,0,4,13,4,36,5,1,0.238,0.266,0.400
Wieters,M,C,148,523,59,123,29,0,22,79,43,104,2,0,0.235,0.287,0.417
Flaherty,R,2B,85,246,28,55,11,0,10,27,19,62,2,0,0.224,0.293,0.390
Casilla,A,2B,62,112,15,24,4,1,1,10,9,20,9,2,0.214,0.268,0.295
Pridie,J,LF,4,10,0,2,0,0,0,1,0,2,0,0,0.200,0.200,0.200
Reimold,N,LF,40,128,17,25,3,0,5,12,10,41,0,1,0.195,0.250,0.336
