Medica,T,1B,19,69,9,20,2,0,3,10,10,23,0,0,0.290,0.380,0.449
Cabrera,E,SS,95,381,54,108,15,5,4,31,41,69,37,12,0.283,0.355,0.381
Alonso,Y,1B,97,334,34,94,11,0,6,45,32,47,6,0,0.281,0.341,0.368
Denorfia,C,RF,144,473,67,132,21,2,10,47,42,84,11,0,0.279,0.337,0.395
Quentin,C,LF,82,276,42,76,21,0,13,44,31,55,0,0,0.275,0.363,0.493
Cedeno,R,SS,38,123,12,33,2,2,2,9,8,31,3,3,0.268,0.318,0.366
Venable,W,RF,151,481,64,129,22,8,22,53,29,118,22,6,0.268,0.312,0.484
Rivera,R,C,23,67,4,17,3,1,0,7,2,16,0,0,0.254,0.268,0.328
Headley,C,3B,141,520,59,130,35,2,13,50,67,142,8,4,0.250,0.347,0.400
Gyorko,J,2B,125,486,62,121,26,0,23,63,33,123,1,1,0.249,0.301,0.444
Cashner,A,P,33,53,7,13,1,0,1,3,1,25,2,0,0.245,0.259,0.321
Blanks,K,RF,88,280,31,68,14,0,8,35,21,85,1,1,0.243,0.305,0.379
Ciriaco,P,SS,23,63,5,15,1,1,1,4,3,10,6,0,0.238,0.284,0.333
Amarista,A,CF,146,368,35,87,14,4,5,32,22,57,4,2,0.236,0.282,0.337
Hundley,N,C,114,373,35,87,19,0,13,44,26,98,1,0,0.233,0.290,0.389
Guzman,J,LF,126,288,33,65,17,0,9,35,27,79,3,0,0.226,0.297,0.378
Grandal,Y,C,28,88,13,19,8,0,1,9,18,18,0,0,0.216,0.352,0.341
Richard,C,P,13,14,1,3,0,0,0,1,0,5,0,0,0.214,0.214,0.214
Forsythe,L,2B,75,220,22,47,6,1,6,19,19,54,6,1,0.214,0.281,0.332
Kotsay,M,LF,104,155,8,30,2,0,1,12,13,25,0,2,0.194,0.253,0.226
