Miner,Z,P,16,6,0,2,0,0,0,0,0,3,0,0,0.333,0.333,0.333
Valdes,R,P,15,3,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.667
Rupp,C,C,4,13,1,4,1,0,0,2,1,4,0,0,0.308,0.357,0.385
Revere,B,CF,88,315,37,96,9,3,0,17,16,36,22,8,0.305,0.338,0.352
Hernandez,C,2B,34,121,17,35,5,0,0,10,9,26,0,3,0.289,0.344,0.331
Utley,C,2B,131,476,73,135,25,6,18,69,45,79,8,3,0.284,0.348,0.475
Young,M,3B,126,468,49,129,24,4,8,42,42,78,1,0,0.276,0.336,0.395
Brown,D,LF,139,496,65,135,21,4,27,83,39,97,8,3,0.272,0.324,0.494
Ruiz,C,C,92,310,30,83,16,0,5,37,18,39,1,0,0.268,0.320,0.368
Howard,R,1B,80,286,34,76,20,2,11,43,23,95,0,0,0.266,0.319,0.465
Young,D,RF,80,272,22,71,13,0,8,31,14,69,0,0,0.261,0.302,0.397
Rollins,J,SS,160,600,65,151,36,2,6,39,59,93,22,6,0.252,0.318,0.348
Quintero,H,C,24,64,3,16,4,0,2,9,3,15,0,0,0.250,0.294,0.406
Ruf,D,LF,73,251,36,62,11,0,14,30,33,91,0,0,0.247,0.348,0.458
Asche,C,3B,50,162,18,38,8,1,5,22,15,43,1,0,0.235,0.302,0.389
Galvis,F,2B,70,205,13,48,5,4,6,19,13,45,1,0,0.234,0.283,0.385
Frandsen,K,1B,119,252,27,59,10,1,5,26,12,29,1,0,0.234,0.296,0.341
Mayberry,J,RF,134,353,47,80,23,1,11,39,27,90,5,3,0.227,0.286,0.391
Kratz,E,C,68,197,21,42,7,0,9,26,18,45,0,0,0.213,0.280,0.386
Orr,P,3B,15,20,1,4,0,0,0,0,2,8,0,0,0.200,0.273,0.200
