Buck,J,C,9,24,1,8,0,0,0,2,0,5,0,0,0.333,0.333,0.333
Byrd,M,RF,30,107,14,34,9,0,3,17,6,20,0,0,0.318,0.357,0.486
McCutchen,A,CF,157,583,97,185,38,5,21,84,78,101,27,10,0.317,0.404,0.508
Mercer,J,SS,103,333,33,95,22,2,8,27,22,62,3,2,0.285,0.336,0.435
Tabata,J,RF,106,308,35,87,17,5,6,33,23,45,3,1,0.282,0.342,0.429
Marte,S,LF,135,510,83,143,26,10,12,35,25,138,41,15,0.280,0.343,0.441
McDonald,J,P,8,11,2,3,0,0,0,0,1,5,0,0,0.273,0.333,0.273
Presley,A,LF,29,72,8,19,1,1,2,4,1,18,0,1,0.264,0.274,0.389
Morneau,J,1B,25,77,6,20,4,0,0,3,13,12,0,0,0.260,0.370,0.312
Sanchez,G,1B,136,264,29,67,18,0,7,36,44,51,1,0,0.254,0.361,0.402
Walker,N,2B,133,478,62,120,24,4,16,53,50,85,1,2,0.251,0.339,0.418
Harrison,J,2B,60,88,10,22,1,2,3,14,2,10,2,0,0.250,0.290,0.409
Lambo,A,RF,18,30,4,7,2,0,1,2,3,11,0,1,0.233,0.303,0.400
Sanchez,T,C,22,60,9,14,4,0,2,5,3,14,0,0,0.233,0.288,0.400
Jones,G,1B,144,403,41,94,26,2,15,51,31,101,2,0,0.233,0.289,0.419
Alvarez,P,3B,152,558,70,130,22,2,36,100,48,186,2,0,0.233,0.296,0.473
Martin,R,C,127,438,51,99,21,0,15,55,58,108,9,5,0.226,0.327,0.377
McKenry,M,C,41,115,9,25,6,0,3,14,5,24,0,0,0.217,0.262,0.348
Snider,T,RF,111,261,28,56,12,2,5,25,24,75,2,3,0.215,0.281,0.333
Barmes,C,SS,108,304,22,64,15,0,5,23,14,70,0,0,0.211,0.249,0.309
