Butler,J,RF,8,12,3,4,2,0,0,1,3,6,0,0,0.333,0.467,0.500
Beltre,A,3B,161,631,88,199,32,0,30,92,50,78,1,0,0.315,0.371,0.509
Gentry,C,CF,106,246,39,69,12,4,2,22,29,46,24,3,0.280,0.373,0.386
Rios,A,RF,47,186,26,52,11,2,6,26,9,30,16,1,0.280,0.315,0.457
Baker,J,LF,74,154,21,43,8,0,11,21,18,48,1,0,0.279,0.360,0.545
Kinsler,I,2B,136,545,85,151,31,2,13,72,51,59,15,11,0.277,0.344,0.413
Pierzynski,A,C,134,503,48,137,24,1,17,70,11,76,1,1,0.272,0.297,0.425
Andrus,E,SS,156,620,91,168,17,4,4,67,52,97,42,8,0.271,0.328,0.331
Cruz,N,RF,109,413,49,110,18,0,27,76,35,109,5,1,0.266,0.327,0.506
Martin,L,CF,147,457,66,119,21,6,8,49,28,104,36,9,0.260,0.313,0.385
Adduci,J,LF,17,31,2,8,1,0,0,0,3,9,2,0,0.258,0.324,0.290
Beltre,E,RF,22,40,7,10,1,0,0,2,0,5,1,2,0.250,0.268,0.275
Soto,G,C,54,163,20,40,9,0,9,22,20,60,1,2,0.245,0.328,0.466
Berkman,L,DH,73,256,27,62,10,1,6,34,38,52,0,0,0.242,0.340,0.359
Profar,J,2B,85,286,30,67,11,0,6,26,26,63,2,4,0.234,0.308,0.336
Moreland,M,1B,147,462,60,107,24,1,23,60,45,117,0,0,0.232,0.299,0.437
Murphy,D,LF,142,436,51,96,26,1,13,45,37,59,1,4,0.220,0.282,0.374
Garcia,L,2B,25,52,8,10,0,1,0,1,3,16,1,0,0.192,0.236,0.231
Rosales,A,1B,17,11,4,2,0,0,1,4,0,3,0,0,0.182,0.167,0.455
Chirinos,R,C,13,28,3,5,3,0,0,0,2,6,0,0,0.179,0.233,0.286
