Beckham,T,2B,5,7,1,3,0,0,0,1,0,0,0,0,0.429,0.375,0.429
Gimenez,C,C,4,3,0,1,1,0,0,0,1,1,0,0,0.333,0.500,0.667
Hellickson,J,P,2,3,0,1,0,0,0,0,0,1,0,0,0.333,0.333,0.333
Loney,J,1B,158,549,54,164,33,0,13,75,44,77,3,1,0.299,0.348,0.430
Myers,W,RF,88,335,50,98,23,0,13,53,33,91,5,2,0.293,0.354,0.478
Zobrist,B,2B,157,612,77,168,36,3,12,71,72,91,11,3,0.275,0.354,0.402
Longoria,E,3B,160,614,91,165,39,3,32,88,70,162,1,0,0.269,0.343,0.498
DeJesus,D,LF,35,104,13,27,10,0,2,11,10,23,2,3,0.260,0.328,0.413
Young,D,DH,23,62,8,16,3,0,3,7,6,9,0,0,0.258,0.329,0.452
Escobar,Y,SS,153,508,61,130,27,1,9,56,57,73,4,4,0.256,0.332,0.366
Jennings,D,CF,139,527,82,133,31,6,14,54,64,115,20,8,0.252,0.334,0.414
Lobaton,J,C,100,277,38,69,15,2,7,32,30,65,0,1,0.249,0.320,0.394
Roberts,R,2B,60,162,15,40,6,0,5,17,11,39,0,2,0.247,0.295,0.377
Rodriguez,S,LF,96,195,21,48,10,1,5,23,17,59,1,3,0.246,0.320,0.385
Scott,L,DH,91,253,27,61,13,2,9,40,30,63,1,1,0.241,0.326,0.415
Johnson,K,LF,118,366,41,86,12,2,16,52,35,99,7,4,0.235,0.305,0.410
Joyce,M,LF,140,413,61,97,22,0,18,47,59,87,7,3,0.235,0.328,0.419
Molina,J,C,99,283,26,66,14,0,2,18,22,63,2,1,0.233,0.290,0.304
Fuld,S,LF,118,176,25,35,0,3,2,17,17,28,8,2,0.199,0.270,0.267
Bourgeois,J,CF,9,16,2,3,0,0,1,2,2,4,0,0,0.188,0.278,0.375
