Berry,Q,LF,13,8,5,5,0,0,1,4,1,2,3,0,0.625,0.667,1.000
Iglesias,J,3B,63,215,27,71,10,2,1,19,11,30,3,1,0.330,0.376,0.409
Ortiz,D,DH,137,518,84,160,38,2,30,103,76,88,4,0,0.309,0.395,0.564
Nava,D,RF,134,458,77,139,29,0,12,66,51,93,0,2,0.303,0.385,0.445
Pedroia,D,2B,160,641,91,193,42,2,9,84,73,75,17,5,0.301,0.372,0.415
Lavarnway,R,C,25,77,8,23,7,0,1,14,2,17,0,0,0.299,0.329,0.429
Ellsbury,J,CF,134,577,92,172,31,8,9,53,47,92,52,4,0.298,0.355,0.426
Carp,M,LF,86,216,34,64,18,2,9,43,22,67,1,0,0.296,0.362,0.523
Victorino,S,RF,122,477,82,140,26,2,15,61,25,75,21,3,0.294,0.351,0.451
Saltalamacchia,J,C,121,425,68,116,40,0,14,65,43,139,4,1,0.273,0.338,0.466
Napoli,M,1B,139,498,79,129,38,2,23,92,73,187,1,1,0.259,0.360,0.482
Drew,S,SS,124,442,57,112,29,8,13,67,54,124,6,0,0.253,0.333,0.443
Bogaerts,X,SS,18,44,7,11,2,0,1,5,5,13,1,0,0.250,0.320,0.364
McDonald,J,2B,6,8,1,2,0,0,0,0,1,3,0,0,0.250,0.333,0.250
Gomes,J,LF,116,312,49,77,17,0,13,52,43,89,1,0,0.247,0.344,0.426
Middlebrooks,W,3B,94,348,41,79,18,0,17,49,20,98,3,1,0.227,0.271,0.425
Ciriaco,P,SS,28,51,4,11,2,1,1,4,6,12,2,1,0.216,0.293,0.353
Ross,D,C,36,102,11,22,5,0,4,10,11,42,1,0,0.216,0.298,0.382
Holt,B,3B,26,59,9,12,2,0,0,11,7,4,1,0,0.203,0.275,0.237
Bradley,J,CF,37,95,18,18,5,0,3,10,10,31,2,0,0.189,0.280,0.337
