Duke,Z,P,13,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000
Parra,M,P,52,2,1,1,0,0,0,0,0,0,0,0,0.500,0.500,0.500
Hamilton,B,CF,13,19,9,7,2,0,0,1,2,4,13,1,0.368,0.429,0.474
Votto,J,1B,162,581,101,177,30,3,24,73,135,138,6,3,0.305,0.435,0.491
Choo,S,CF,154,569,107,162,34,2,21,54,112,133,20,11,0.285,0.423,0.462
Bruce,J,RF,160,626,89,164,43,1,30,109,63,185,7,3,0.262,0.329,0.478
Phillips,B,2B,151,606,80,158,24,2,18,103,39,98,5,3,0.261,0.310,0.396
Miller,C,C,17,35,2,9,5,0,0,8,5,6,0,0,0.257,0.366,0.400
Robinson,D,LF,102,192,21,49,7,3,0,8,18,44,4,5,0.255,0.322,0.323
Cozart,Z,SS,151,567,74,144,30,3,12,63,26,102,0,0,0.254,0.284,0.381
Cingrani,T,P,22,28,4,7,1,0,0,1,0,9,1,0,0.250,0.250,0.286
Paul,X,LF,97,209,24,51,12,0,7,32,27,53,0,1,0.244,0.339,0.402
Lutz,D,LF,34,58,5,14,1,0,1,8,1,14,2,0,0.241,0.254,0.310
Ludwick,R,LF,38,129,7,31,5,0,2,12,10,29,0,0,0.240,0.293,0.326
Mesoraco,D,C,103,323,31,77,13,0,9,42,24,61,0,2,0.238,0.287,0.362
Heisey,C,LF,87,224,29,53,11,1,9,23,9,51,3,0,0.237,0.279,0.415
Frazier,T,3B,150,531,63,124,29,3,19,73,50,125,6,5,0.234,0.314,0.407
Hannahan,J,3B,83,139,12,30,5,1,1,14,19,38,0,0,0.216,0.317,0.288
Izturis,C,SS,63,129,6,27,8,0,0,11,9,13,0,0,0.209,0.259,0.271
Hanigan,R,C,75,222,17,44,8,0,2,21,29,27,0,1,0.198,0.306,0.261
