Oswalt,R,P,8,6,0,2,0,0,0,0,0,2,0,0,0.333,0.333,0.333
Cuddyer,M,RF,130,489,74,162,31,3,20,84,46,100,10,3,0.331,0.389,0.530
Tulowitzki,T,SS,126,446,72,139,27,0,25,82,57,85,1,0,0.312,0.391,0.540
Blackmon,C,RF,82,246,35,76,17,2,6,22,7,49,7,0,0.309,0.336,0.467
Gonzalez,C,LF,110,391,72,118,23,6,26,70,41,118,21,3,0.302,0.367,0.591
Chatwood,T,P,26,40,3,12,1,0,0,7,2,8,0,0,0.300,0.333,0.325
Culberson,C,2B,47,99,12,29,5,0,2,12,4,23,5,1,0.293,0.317,0.404
Herrera,J,SS,81,195,16,57,7,2,1,16,14,24,3,2,0.292,0.336,0.364
Rosario,W,C,121,449,63,131,22,1,21,79,15,109,4,1,0.292,0.315,0.486
LeMahieu,D,2B,109,404,39,113,21,3,2,28,19,67,18,7,0.280,0.311,0.361
Arenado,N,3B,133,486,49,130,29,4,10,52,23,72,2,0,0.267,0.301,0.405
Dickerson,C,LF,69,194,32,51,13,5,5,17,16,41,2,2,0.263,0.316,0.459
Fowler,D,CF,119,415,71,109,18,3,12,42,65,105,19,9,0.263,0.369,0.407
Brignac,R,SS,29,48,4,12,3,0,1,6,3,13,0,0,0.250,0.294,0.375
McHugh,C,P,4,4,0,1,0,0,0,0,0,1,0,0,0.250,0.250,0.250
Helton,T,1B,124,397,41,99,22,1,15,61,40,87,0,0,0.249,0.314,0.423
Nelson,C,3B,21,66,6,16,1,2,0,4,4,19,0,0,0.242,0.282,0.318
Young,E,RF,57,165,22,40,9,3,1,6,11,33,8,4,0.242,0.290,0.352
Torrealba,Y,C,61,179,10,43,8,0,0,16,13,24,0,0,0.240,0.295,0.285
Pacheco,J,1B,95,247,23,59,15,0,1,22,10,38,0,0,0.239,0.276,0.312
