Chen,B,P,2,2,1,1,0,0,0,0,0,1,0,0,0.500,0.500,0.500
Mendoza,L,P,3,5,0,2,0,0,0,1,0,2,0,0,0.400,0.400,0.400
Shields,J,P,1,3,1,1,0,0,0,0,0,1,0,0,0.333,0.333,0.333
Hosmer,E,1B,159,623,86,188,34,3,17,79,51,100,11,4,0.302,0.353,0.448
Moore,A,C,5,10,1,3,1,0,0,0,1,2,1,0,0.300,0.364,0.400
Perez,S,C,138,496,48,145,25,3,13,79,21,63,0,0,0.292,0.323,0.433
Butler,B,DH,162,582,62,168,27,0,15,82,79,102,0,0,0.289,0.374,0.412
Tejada,M,2B,53,156,15,45,5,0,3,20,6,25,1,0,0.288,0.317,0.378
Lough,D,RF,96,315,35,90,17,4,5,33,10,52,5,2,0.286,0.311,0.413
Bonifacio,E,2B,42,158,21,45,6,2,0,11,17,37,16,2,0.285,0.352,0.348
Hayes,B,C,5,18,2,5,3,0,1,2,0,3,0,0,0.278,0.278,0.611
Maxwell,J,RF,35,97,14,26,6,1,5,17,11,35,2,1,0.268,0.351,0.505
Gordon,A,LF,156,633,90,168,27,6,20,81,52,141,11,3,0.265,0.327,0.422
Dyson,J,CF,87,213,30,55,9,4,2,17,21,45,34,6,0.258,0.326,0.366
Cain,L,CF,115,399,54,100,21,3,4,46,33,90,14,6,0.251,0.310,0.348
Falu,I,3B,1,4,0,1,0,0,0,0,0,0,0,0,0.250,0.250,0.250
Guthrie,J,P,2,4,0,1,0,0,0,0,0,2,0,0,0.250,0.250,0.250
Santana,E,P,1,4,0,1,0,0,0,0,0,2,0,0,0.250,0.250,0.250
Escobar,A,SS,158,607,57,142,20,4,4,52,19,84,22,0,0.234,0.259,0.300
Moustakas,M,3B,136,472,42,110,26,0,12,42,32,83,2,4,0.233,0.287,0.364
