Fister,D,P,4,5,0,2,0,0,0,1,0,1,0,0,0.400,0.400,0.400
Cabrera,M,1B,148,555,103,193,26,1,44,137,90,94,3,0,0.348,0.442,0.636
Porcello,R,P,3,3,0,1,0,0,0,0,0,0,0,0,0.333,0.333,0.333
Scherzer,M,P,1,3,0,1,1,0,0,1,0,0,0,0,0.333,0.333,0.667
Infante,O,2B,118,453,54,144,24,3,10,51,20,44,5,2,0.318,0.345,0.450
Hunter,T,RF,144,606,90,184,37,5,17,84,26,113,3,2,0.304,0.334,0.465
Peralta,J,SS,107,409,50,124,30,0,11,55,35,98,3,3,0.303,0.358,0.457
Martinez,V,DH,159,605,68,182,36,0,14,83,54,62,0,2,0.301,0.355,0.430
Pena,B,C,71,229,19,68,11,0,4,22,6,26,0,2,0.297,0.315,0.397
Holaday,B,C,16,27,8,8,1,0,1,2,2,3,0,0,0.296,0.367,0.444
Fielder,P,1B,162,624,82,174,36,0,25,106,75,117,1,1,0.279,0.362,0.457
Castellanos,N,3B,11,18,1,5,0,0,0,0,0,1,0,0,0.278,0.278,0.278
Jackson,A,CF,129,552,99,150,30,7,12,49,52,129,8,4,0.272,0.337,0.417
Iglesias,J,SS,46,135,12,35,6,0,2,10,4,30,2,1,0.259,0.306,0.348
Dirks,A,LF,131,438,60,112,16,2,9,37,42,84,7,1,0.256,0.323,0.363
Tuiasosopo,M,LF,81,164,26,40,7,0,7,30,25,57,0,0,0.244,0.351,0.415
Garcia,A,RF,30,83,12,20,3,1,2,10,4,21,0,1,0.241,0.273,0.373
Avila,A,C,102,330,39,75,14,1,11,47,44,112,0,0,0.227,0.317,0.376
Santiago,R,2B,80,205,27,46,8,1,1,14,21,32,0,1,0.224,0.298,0.288
Kelly,D,LF,112,216,33,48,6,1,6,23,27,28,2,0,0.222,0.309,0.343
