Fryer,E,C,6,13,2,5,1,0,1,4,3,3,0,0,0.385,0.500,0.692
Pinto,J,C,21,76,10,26,5,0,4,12,6,22,0,0,0.342,0.398,0.566
Mauer,J,1B,113,445,62,144,35,0,11,47,61,89,0,1,0.324,0.404,0.476
Presley,A,CF,28,113,9,32,4,1,1,11,8,21,1,3,0.283,0.336,0.363
Ramirez,W,RF,35,81,5,22,6,1,0,6,3,23,0,0,0.272,0.302,0.370
Morneau,J,1B,127,495,56,128,32,0,17,74,37,98,0,0,0.259,0.315,0.426
Plouffe,T,3B,129,477,44,121,22,1,14,52,34,112,2,1,0.254,0.309,0.392
Arcia,O,LF,97,351,34,88,17,2,14,43,23,117,1,2,0.251,0.304,0.430
Doumit,R,C,135,485,49,120,28,1,14,55,48,99,1,0,0.247,0.314,0.396
Dozier,B,2B,147,558,72,136,33,4,18,66,51,120,14,7,0.244,0.312,0.414
Escobar,E,SS,66,165,23,39,5,2,3,10,11,34,0,2,0.236,0.282,0.345
Carroll,J,2B,58,191,21,44,6,0,0,9,13,35,2,0,0.230,0.283,0.262
Parmelee,C,RF,101,294,21,67,13,0,8,24,33,81,1,1,0.228,0.309,0.354
Bernier,D,SS,33,53,9,12,3,0,0,5,8,15,2,1,0.226,0.339,0.283
Florimon,P,SS,134,403,44,89,17,0,9,44,33,115,15,6,0.221,0.281,0.330
Thomas,C,CF,92,290,39,62,15,0,4,13,30,92,1,3,0.214,0.290,0.307
Willingham,J,LF,111,389,42,81,20,0,14,48,66,128,1,0,0.208,0.342,0.368
Herrmann,C,C,57,157,16,32,7,0,4,18,18,49,0,1,0.204,0.286,0.325
Colabello,C,1B,55,160,14,31,3,0,7,17,20,58,0,1,0.194,0.287,0.344
Hicks,A,CF,81,281,37,54,11,3,8,27,24,84,9,3,0.192,0.259,0.338
