Axelrod,D,P,1,2,1,1,0,0,0,0,0,1,0,0,0.500,0.500,0.500
Garcia,A,RF,42,161,19,49,4,2,5,21,5,38,3,2,0.304,0.327,0.447
Ramirez,A,SS,158,637,68,181,39,2,6,48,26,68,30,9,0.284,0.313,0.380
Rios,A,RF,109,430,57,119,22,2,12,55,32,78,26,6,0.277,0.328,0.421
Beckham,G,2B,103,371,46,99,22,1,5,24,28,56,5,1,0.267,0.322,0.372
Viciedo,D,LF,124,441,43,117,23,3,14,56,24,98,0,0,0.265,0.304,0.426
De Aza,A,LF,153,607,84,160,27,4,17,62,50,147,20,8,0.264,0.323,0.405
Semien,M,3B,21,69,7,18,4,0,2,7,1,22,2,2,0.261,0.268,0.406
Keppinger,J,2B,117,423,38,107,13,1,4,40,20,41,0,1,0.253,0.283,0.317
Gillaspie,C,3B,134,408,46,100,14,3,13,40,37,79,0,1,0.245,0.305,0.390
Konerko,P,1B,126,467,41,114,16,0,12,54,45,74,0,0,0.244,0.313,0.355
Wise,D,CF,30,64,6,15,3,0,1,3,2,14,1,1,0.234,0.258,0.328
Danks,J,CF,79,160,15,37,7,0,5,12,18,57,7,2,0.231,0.313,0.369
Tekotte,B,CF,20,31,4,7,1,0,1,2,3,9,1,3,0.226,0.306,0.355
Gonzalez,M,C,5,9,0,2,0,0,0,0,0,3,0,0,0.222,0.222,0.222
Greene,T,2B,22,54,7,12,2,1,1,3,3,19,0,0,0.222,0.263,0.352
Dunn,A,1B,149,525,60,115,15,0,34,86,76,189,1,1,0.219,0.320,0.442
Phegley,J,C,65,204,14,42,7,0,4,22,5,41,2,0,0.206,0.223,0.299
Garcia,L,2B,20,49,2,10,1,0,0,1,4,18,6,2,0.204,0.259,0.224
Morel,B,3B,12,25,3,5,0,0,0,1,5,7,1,1,0.200,0.333,0.200
