Mesa,M,CF,5,13,2,5,2,0,0,1,1,2,0,1,0.385,0.429,0.538
Cano,R,2B,160,605,81,190,41,0,27,107,65,85,7,1,0.314,0.383,0.516
Boesch,B,RF,23,51,6,14,2,1,3,8,2,9,0,0,0.275,0.302,0.529
Gardner,B,CF,145,539,81,147,33,10,8,52,52,127,24,8,0.273,0.344,0.416
Cervelli,F,C,17,52,12,14,3,0,3,8,8,9,0,0,0.269,0.377,0.500
Suzuki,I,RF,150,520,57,136,15,3,7,35,26,63,20,4,0.262,0.297,0.342
Nunez,E,SS,90,304,38,79,17,4,3,28,20,51,10,3,0.260,0.307,0.372
Soriano,A,LF,58,219,37,56,8,0,17,50,21,67,8,4,0.256,0.325,0.525
Rodriguez,A,3B,44,156,21,38,7,0,7,19,23,43,4,2,0.244,0.348,0.423
Overbay,L,1B,142,445,43,107,24,1,14,59,36,111,2,0,0.240,0.295,0.393
Reynolds,M,1B,36,110,15,26,6,0,6,19,8,31,0,1,0.236,0.300,0.455
Nix,J,SS,87,267,32,63,9,1,3,24,24,80,13,1,0.236,0.308,0.311
Almonte,Z,LF,34,106,9,25,4,0,1,9,6,19,3,1,0.236,0.274,0.302
Wells,V,LF,130,424,45,99,16,0,11,50,30,73,7,3,0.233,0.282,0.349
Granderson,C,CF,61,214,31,49,13,2,7,15,27,69,8,2,0.229,0.317,0.407
Nelson,C,3B,10,36,3,8,2,0,0,2,1,11,0,0,0.222,0.243,0.278
Ryan,B,SS,17,59,7,13,2,0,1,1,2,13,0,0,0.220,0.258,0.305
Youkilis,K,3B,28,105,12,23,7,0,2,8,8,31,0,0,0.219,0.305,0.343
Stewart,C,C,109,294,28,62,6,0,4,25,30,49,4,0,0.211,0.293,0.272
Romine,A,C,60,135,15,28,9,0,1,10,8,37,1,0,0.207,0.255,0.296
